BZONENUM,MZONENUM,TAZONENUM,ID,COUNTY,TOWN,AREA,HH,RESIDENT,HS,IND12,IND3A,IND3B,SCHEMP,GOVC,EXPO,UNV,SENIOR,JNR,TENANT,WORKER,NONWKR,STU6_14,STU15,INC,EMPD,DHBWP,DHBEP,DHBUP,DHBOP,DHBPP,DHBSP,DNHBP,DHBWA,DHBEA,DHBUA,DHBOA,DHBPA,DHBSA,DNHBA,APHBWP,APHBEP,APHBUP,APHBOP,APHBPP,APHBSP,APNHBP,APHBWA,APHBEA,APHBUA,APHBOA,APHBPA,APHBSA,APNHBA,POPDEN,DAYP,DAYA,AMP,AMA
18.0000,"62","62019","591",宜蘭縣,宜蘭縣,193.1296,0.000000,0.000000,"0",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.00,0.00,0.00,0.00
1.0000,"1","1019","1",臺北市,士林區,35.4022,4718.000000,12896.000000,"2.73",120.000000,1420.000000,120.000000,1440.000000,0.000000,0.000000,23291.000000,810.000000,593.000000,13999.000000,6346.000000,7653.000000,1251.000000,900.000000,"218.7",5774.000000,9777.300000,1369.380000,1382.350000,6777.680000,2143.780000,1364.310000,5584.440000,3485.330000,803.850000,27921.230000,8947.190000,1221.780000,1426.390000,8363.150000,2423.530000,321.717900,288.798900,966.730000,503.230000,193.990000,643.550000,835.969600,212.160000,5622.530000,989.622100,322.030300,158.498700,1740.433000,364.2711,28399.24,52168.92,5341.55,9881.24
1.0000,"1","1029","2",臺北市,士林區,1.7501,1169.000000,2861.000000,"2.45",7.000000,40.000000,40.000000,40.000000,0.000000,0.000000,0.000000,0.000000,98.000000,3469.000000,1572.000000,1896.000000,278.000000,200.000000,"218.7",1281.000000,3660.220000,345.880000,504.670000,2982.200000,541.510000,600.130000,2729.980000,354.950000,141.640000,0.000000,198.170000,185.410000,40.600000,165.240000,749.920000,77.019800,131.500500,350.120000,120.470000,70.260000,273.570000,184.020100,35.350000,0.000000,9.361200,46.219700,1.927600,39.104700,1634.7637,11364.59,1086.01,1772.86,315.98
1.0000,"1","1031","3",臺北市,士林區,2.3621,1182.000000,3106.000000,"2.63",7.000000,350.000000,160.000000,140.000000,0.000000,0.000000,0.000000,548.000000,873.000000,3507.000000,1590.000000,1917.000000,301.000000,216.000000,"218.7",1391.000000,3656.660000,353.040000,490.610000,2348.500000,552.710000,472.810000,2082.810000,1179.390000,574.940000,1682.970000,1093.950000,854.970000,355.270000,854.870000,660.990000,76.529400,93.561800,300.140000,119.710000,60.230000,205.620000,157.283000,188.610000,228.760000,58.083800,280.104100,18.935100,108.847900,1314.9316,9957.14,6596.36,1516.78,1040.62
1.0000,"1","1049","5",臺北市,士林區,2.4938,4340.000000,13401.000000,"3.09",111.000000,680.000000,300.000000,190.000000,0.000000,0.000000,0.000000,372.000000,2409.000000,12877.000000,5837.000000,7040.000000,1300.000000,936.000000,"218.7",6000.000000,7094.810000,1429.940000,2026.940000,5442.740000,2238.630000,1095.870000,4808.760000,1977.270000,1855.190000,755.440000,2132.940000,2842.690000,538.870000,1666.780000,1753.840000,345.893500,402.890700,808.310000,541.040000,162.200000,603.690000,360.151100,599.510000,164.620000,195.582600,917.395000,49.636900,348.545600,5373.7268,24137.69,11769.18,4617.86,2635.44
1.0000,"1","1059","6",臺北市,士林區,2.4497,7670.000000,22819.000000,"2.98",243.000000,1880.000000,700.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22758.000000,10316.000000,12441.000000,2213.000000,1593.000000,"218.7",10217.000000,12861.230000,1394.630000,3204.110000,9340.120000,2183.400000,1880.380000,7521.450000,4296.800000,0.000000,0.000000,2105.900000,0.000000,511.250000,1681.730000,3106.040000,448.149500,650.787000,1372.610000,701.010000,275.430000,1065.290000,1338.665000,0.000000,0.000000,239.639600,0.000000,58.431800,446.793200,9315.0182,38385.32,8595.68,7619.32,2083.53
1.0000,"1","1069","7",臺北市,士林區,0.4669,5047.000000,14274.000000,"2.83",103.000000,2760.000000,640.000000,160.000000,0.000000,0.000000,0.000000,0.000000,2163.000000,14975.000000,6788.000000,8187.000000,1385.000000,996.000000,"218.7",6391.000000,8372.790000,1603.390000,1947.690000,6199.330000,2510.130000,1248.110000,5224.920000,4644.850000,1826.180000,0.000000,4433.790000,2824.880000,1046.660000,2808.770000,2021.430000,389.881900,365.050400,859.760000,609.860000,172.520000,679.860000,1101.161000,564.130000,0.000000,572.229400,871.474800,135.698300,675.610100,30571.8569,27106.36,17585.13,5098.36,3920.30
1.0000,"1","1079","8",臺北市,士林區,1.1230,9178.000000,26694.000000,"2.91",362.000000,5650.000000,1300.000000,640.000000,760.000000,0.000000,2170.000000,0.000000,6016.000000,27232.000000,12345.000000,14887.000000,2589.000000,1864.000000,"218.7",11953.000000,15732.680000,3211.180000,4157.600000,11916.380000,5027.170000,2399.340000,10015.550000,11334.510000,4817.280000,4559.350000,12466.900000,7437.610000,2963.980000,8153.610000,4163.340000,784.626900,819.310500,1665.210000,1227.320000,334.150000,1079.850000,2436.986000,1546.330000,922.740000,1156.991000,2384.244000,276.326100,1458.325000,23770.2582,52459.90,51733.24,10073.81,10181.94
1.0000,"1","1089","9",臺北市,士林區,1.5461,10463.000000,30002.000000,"2.87",1300.000000,4580.000000,2110.000000,190.000000,0.000000,0.000000,0.000000,0.000000,1859.000000,31045.000000,14073.000000,16972.000000,2910.000000,2094.000000,"218.7",13434.000000,19179.470000,3538.120000,4629.610000,13795.310000,5539.040000,2777.410000,12039.150000,12722.920000,2392.920000,0.000000,8868.500000,3517.220000,2112.660000,6275.070000,4622.000000,828.145000,854.305100,1968.000000,1295.400000,394.910000,1226.870000,2634.325000,592.240000,0.000000,839.270400,869.328000,200.806500,1068.560000,19404.9544,61498.11,35889.29,11189.63,6204.53
1.0000,"1","1099","10",臺北市,士林區,2.0022,1162.000000,3211.000000,"2.76",437.000000,1370.000000,290.000000,1440.000000,0.000000,0.000000,19124.000000,3327.000000,0.000000,3448.000000,1563.000000,1885.000000,311.000000,225.000000,"218.7",1438.000000,1909.140000,180.140000,518.360000,1628.250000,282.020000,327.830000,1584.510000,4566.720000,0.000000,39059.330000,8383.300000,0.000000,1390.640000,7919.340000,484.910000,57.867400,97.352700,192.240000,90.510000,38.570000,142.220000,936.238800,0.000000,5547.280000,657.925300,0.000000,109.614800,1159.023000,1603.7359,6430.25,61319.33,1103.67,8410.08
