ID,LENGTH,DIR,A,B,ROADNAME,OTHERNAME,PROJECTNAM,YEAR,LEVEL_110,CLASS_110,LANES_110,ROW,S0,ALPHA,BETA,NMT_110,NTK_110,NBUS_110,COUNTY,MRTXFERPEN,ETAG
"4",0.30,"2","17252","10118",台2,登輝大道,,"104","3","21","3",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"5",4.13,"2","5003","5006",北28-1,大坪產業道路,,"104","5","56","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"6",1.23,"2","5007","5008",台2乙,中山路,,"104","3","16","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7",0.54,"2","5009","10122",北3,小坪頂路,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"8",1.47,"2","5011","5001",北28,萬崁公路,,"104","5","56","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"9",2.34,"-1","83128","83127",臺北捷運,紅線,,"104","9","96","0",MRT,,0.0000,,"1","1","1","2",,
"10",2.17,"2","5012","8725",台2甲,陽金公路,,"104","3","22","1",,"50",3.7600,3.2900,"0","0","0","1","0",0.0000
"11",1.55,"2","5014","5015",台9,北宜公路,,"104","3","22","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"12",6.69,"2","5016","5014",北47,碇格路二段,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"14",1.86,"1","5018","5019",國3,福爾摩沙高速公路,,"104","1","2","3",,"104",0.8850,4.8323,"1","0","0","2",,0.6032
"15",0.29,"2","5020","10146",福德一路,福德一路,,"104","6","64","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"16",1.20,"1","5022","5023",國1,中山高速公路,,"104","1","2","4",,"104",0.8850,4.8323,"1","0","0","2",,0.3880
"17",0.55,"2","5024","5025",工建路,工建路,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"18",0.59,"1","5026","5027",國3,福爾摩沙高速公路,,"104","1","2","3",,"104",0.8850,4.8323,"1","0","0","2",,0.1901
"19",0.50,"1","5028","5027",國3,新臺五路交流道,,"104","1","4","1",,"48",1.0010,4.7645,"1","0","0","2",,
"20",0.26,"2","5029","5028",台5,新台五路一段,,"104","3","27","3",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"21",0.40,"2","5021","5024",中興路,中興路,,"104","6","62","2",,"32",1.5554,3.8290,"0","1","0","2","0",0.0000
"22",0.48,"2","5030","5031",福德二路,福德二路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"23",1.90,"1","5032","5033",國1,中山高速公路,,"104","1","2","4",,"104",0.8850,4.8323,"1","0","0","2",,0.6148
"24",0.50,"2","5030","5034",福德三路,福德三路,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"26",3.71,"1","66010","66009",西部縱貫鐵路,臺鐵,,"104","9","96","0",TRA,,0.0000,,"1","1","1","4",,
"29",0.41,"2","5038","5025",台5甲,大同路一段,,"104","3","25","2",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"30",0.64,"2","5039","10145",明峰街,明峰街,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"32",12.46,"2","5042","10147",北28,八連路二段,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","4","0",0.0000
"34",6.14,"2","5006","5043",北28,北28,,"104","5","56","1",,"60",0.8397,5.3445,"0","0","1","2","0",0.0000
"35",3.73,"2","5043","7223",北28-2,萬崁路,,"104","5","56","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"36",0.23,"1","5044","16696",國5,蔣渭水高速公路,,"104","1","2","2",,"104",0.8850,4.8323,"1","1","0","1",,0.0744
"37",6.92,"2","5046","5047",北32,,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","4","0",0.0000
"38",0.51,"2","5039","10144",康寧街,康寧街,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"41",1.25,"2","5049","5046",北32,舊莊街二段,,"104","5","46","1",,"41",1.5577,3.6819,"0","0","0","1","0",0.0000
"42",0.18,"1","5050","16693",國5,蔣渭水高速公路,,"104","1","2","2",,"104",0.8850,4.8323,"1","1","0","2",,0.0587
"44",4.46,"2","5053","10160",北104,建安路,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"46",3.23,"2","5054","15950",台7乙,台7乙,,"104","3","22","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"47",0.43,"2","5055","5056",台3,中正路一段,,"104","3","17","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"48",0.53,"2","5057","5058",中華路,中華路,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
