tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	1.2	1.4496789050515309	3747.5193081848292
5003	5006	1300.0	4.13	4.13	4.130202199928701	209.73561979762084
5007	5008	1650.0	1.23	2.30625	5.576175443590851	1610.5801562949582
5009	10122	1570.0	0.54	2.16	2.164721482113882	163.096926822383
5011	5001	1300.0	1.47	1.47	1.470001528214395	102.0109616260311
5012	8725	1570.0	2.17	2.604	2.608692657328464	153.80145636714437
5014	5015	1570.0	1.55	1.8599999999999999	1.860026534378748	35.3355743969477
5016	5014	1570.0	6.69	8.028	8.02800000000001	0.029423442563276805
5018	5019	5670.0	1.861166	1.0737496153846156	1.086180142966822	2311.211667560772
5020	10146	860.0	0.29	0.54375	0.543797123210693	66.60421560567667
5022	5023	8300.0	1.197082	0.6906242307692307	1.103230709666029	7651.804133366151
5024	5025	770.0	0.55	1.03125	2.968103695382646	808.8681012876874
5026	5027	5670.0	0.586561	0.3384005769230769	0.34736485616509494	2743.054708508953
5028	5027	2070.0	0.500668	0.625835	0.6273017893593636	580.578232110184
5029	5028	5240.0	0.26	0.26	0.2607616571231764	1817.7874251989579
5021	5024	1570.0	0.4	0.75	2.0831147943945587	1625.690463916003
5030	5031	910.0	0.48	0.7024390243902439	0.7081620746687941	218.47313046582227
5032	5033	8300.0	1.89709	1.094475	1.1224201047980327	3984.9390349494815
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.4191532775277119	1988.513674412294
5039	10145	910.0	0.64	0.9365853658536585	0.9425262487089026	204.1131913330397
5042	10147	1570.0	12.46	14.952	14.952	0.0
5006	5043	1300.0	6.14	6.14	6.140300607157924	209.73561979762084
5043	7223	1300.0	3.73	3.73	3.730003877714077	102.0109616260311
5044	16696	3870.0	0.229508	0.13240846153846153	0.13288352079232849	1237.9000133215277
5046	5047	1570.0	6.92	8.304	8.304016946472071	19.566989114600354
5039	10144	770.0	0.51	0.95625	0.9701370982577776	227.18407906599327
5049	5046	770.0	1.25	1.8292682926829267	1.8292720570669705	19.48688833910255
5050	16693	3870.0	0.181224	0.1045523076923077	0.10590202157154302	1613.4681121535407
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.883733874537488	158.63751062180572
5055	5056	1950.0	0.43	0.6292682926829268	0.6295117244405016	204.61440341248797
5057	5058	910.0	0.53	0.775609756097561	0.775609969657461	13.33646221344674
5059	15938	1950.0	0.13	0.1902439024390244	0.1905745377959641	307.7185766953539
5061	5062	910.0	0.39	0.5707317073170731	0.61466931399028	402.07924329530886
5063	16684	8300.0	3.044577	1.7564867307692307	2.9820952094094944	7901.586020299913
5065	5066	4000.0	0.593473	0.6847765384615385	1.0238100285256686	3610.786114567562
5195	13980	1650.0	0.13	0.24375000000000002	0.3162068058089812	1070.9836439788683
5068	5171	4000.0	0.481766	0.5558838461538462	0.7421858666943333	3336.457308467179
5070	5071	1570.0	8.52	10.224	10.224010135320409	15.711308511159972
5072	15952	910.0	1.09	1.5951219512195123	1.9451224062817096	534.3846000193483
5062	15939	770.0	0.23	0.33658536585365856	0.33797781254177856	153.7822259956732
5074	5075	1450.0	2.35	2.82	2.900416764109362	547.5259877396854
5074	17124	910.0	0.81	1.1853658536585365	1.2372731703027922	344.95485005260826
5077	10110	1570.0	0.92	1.104	1.1116882967187045	231.95577503714105
5079	10380	3920.0	0.72	0.864	0.8664301892661495	804.1988750690854
5081	13954	1570.0	0.35	0.41999999999999993	0.41999999999999993	0.0
5083	5084	1570.0	9.97	11.964000000000002	11.964045991885785	23.719991891949295
5085	16681	8300.0	3.229111	1.862948653846154	3.5190642928875473	8307.701871633659
5056	5087	910.0	0.48	0.7024390243902439	0.7033897666864894	134.1742270110991
5088	15964	1450.0	2.8	3.3599999999999994	6.729488677560329	1398.4082354032812
5090	13977	1300.0	0.66	0.9658536585365853	1.5662007149784352	1012.9251526439489
5081	13953	1570.0	0.33	0.396	0.396143995318359	94.55322624088163
5092	13982	2490.0	0.23	0.43125	0.7245666000195259	2006.2263341678981
5156	15628	2940.0	0.15	0.18	0.19442407615026677	1457.3718931443682
5096	34832	2950.0	0.17	0.20400000000000001	0.25510197231282805	1974.3281862454942
5094	7642	1570.0	1.61	1.932	2.3886153997936295	677.1083813770207
5068	5100	8300.0	0.703132	0.4056530769230769	0.44769843472849713	5325.220276652187
5101	5066	8300.0	0.875246	0.5049496153846154	0.5303637359296641	4585.775087424897
5093	34844	1950.0	0.08	0.11707317073170731	0.12561704096352125	849.1840748295547
5104	10104	1450.0	0.88	1.056	2.1066334309207853	1395.4960154675318
5106	10105	1450.0	0.69	0.828	0.8386926596457487	444.4149450701884
5059	15937	910.0	0.21	0.3073170731707317	0.31878301542696325	330.2719637704621
5108	5109	910.0	0.36	0.5268292682926828	0.5268293516938647	11.475068517928891
5133	5110	1000.0	1.119447	1.178365263157895	1.2001925844279278	311.8685842307883
5111	5112	8300.0	0.391504	0.22586769230769232	0.2935472280485572	6633.543115319604
5113	7529	2300.0	0.15491	0.17874230769230767	0.18029297731040483	915.3624322034713
5114	5115	1450.0	0.62	0.744	0.7444412013552821	197.41474554412008
5116	5117	1300.0	2.82	4.126829268292682	4.126829268292682	0.0
5112	26594	6300.0	2.661021	1.535204423076923	4.790983730181503	7548.905547523076
5119	5116	1300.0	0.95	1.3902439024390243	1.3902439024390243	0.0
11005	12979	8300.0	1.362054	0.7858003846153847	0.7995895201851735	3687.365437216631
5119	10109	1450.0	0.72	0.864	0.864	0.0
16380	15926	910.0	1.28	1.873170731707317	1.9291479280326669	310.9513777008705
5123	15899	910.0	0.1	0.14634146341463414	0.14634482414639655	44.343884851026175
5110	15931	910.0	0.29	0.42439024390243896	0.6198023428239968	653.558851555992
5116	10108	1300.0	0.27	0.3951219512195122	0.3951219512195122	0.0
5115	5119	1450.0	0.29	0.348	0.348	0.0
5107	15892	1860.0	0.08	0.11707317073170731	0.15842225847814734	1243.0087006373485
