tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	1.2	1.4677686265608896	3817.2007093555058
5003	5006	1300.0	4.13	4.13	4.130282231368323	223.23897039535092
5007	5008	1650.0	1.23	2.30625	5.622715874374299	1616.5356639919582
5009	10122	1570.0	0.54	2.16	2.1716008970308764	214.34453301902613
5011	5001	1300.0	1.47	1.47	1.4700022765173726	109.90888105305835
5012	8725	1570.0	2.17	2.604	2.6115406758811646	177.65270533925877
5014	5015	1570.0	1.55	1.8599999999999999	1.8600489627124501	42.56772165770571
5016	5014	1570.0	6.69	8.028	8.028000000000082	0.0587480105583547
5018	5019	5670.0	1.861166	1.0737496153846156	1.0827370990221417	2161.1843330575825
5020	10146	860.0	0.29	0.54375	0.5438524917481595	81.58922915415154
5022	5023	8300.0	1.197082	0.6906242307692307	1.0998350628887674	7638.729836205091
5024	5025	770.0	0.55	1.03125	2.0996912354779522	692.4792793717972
5026	5027	5670.0	0.586561	0.3384005769230769	0.35073815895278004	2930.489669656078
5028	5027	2070.0	0.500668	0.625835	0.6276059792386071	604.0028494822982
5029	5028	5240.0	0.26	0.26	0.2610562807678074	1932.485224182378
5021	5024	1570.0	0.4	0.75	1.9908844638622123	1595.5344242253277
5030	5031	910.0	0.48	0.7024390243902439	0.7062742989409293	195.96824121466864
5032	5033	8300.0	1.89709	1.094475	1.1397555857565747	4403.497706312839
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.4225351487025568	2109.010526605946
5039	10145	910.0	0.64	0.9365853658536585	0.9423744082069994	202.6829159730808
5042	10147	1570.0	12.46	14.952	14.952	0.0
5006	5043	1300.0	6.14	6.14	6.140419588523367	223.23897039535092
5043	7223	1300.0	3.73	3.73	3.7300057764692514	109.90888105305835
5044	16696	3870.0	0.229508	0.13240846153846153	0.13276394131056668	1165.8023206520834
5046	5047	1570.0	6.92	8.304	8.304042778538959	25.927284127018265
5039	10144	770.0	0.51	0.95625	1.0057092662177753	316.5525656013202
5049	5046	770.0	1.25	1.8292682926829267	1.8292723449140025	19.8807945481881
5050	16693	3870.0	0.181224	0.1045523076923077	0.1059626347714696	1628.2025485604886
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.8848185568984657	165.09397924223083
5055	5056	1950.0	0.43	0.6292682926829268	0.6300164979813426	277.57455572611696
5057	5058	910.0	0.53	0.775609756097561	0.7756125299165662	26.759739494886496
5059	15938	1950.0	0.13	0.1902439024390244	0.19039529399198374	248.89399900257936
5061	5062	910.0	0.39	0.5707317073170731	0.6283600995058314	432.8187172146531
5063	16684	8300.0	3.044577	1.7564867307692307	2.929049779250821	7829.567825541713
5065	5066	4000.0	0.593473	0.6847765384615385	1.0402798380593736	3645.6379283686374
5195	13980	1650.0	0.13	0.24375000000000002	0.3390676831260224	1150.4985480582716
5068	5171	4000.0	0.481766	0.5558838461538462	0.7967375399520549	3514.5674968516364
5070	5071	1570.0	8.52	10.224	10.224014497969486	17.517316798657344
5072	15952	910.0	1.09	1.5951219512195123	1.9779526676279764	547.5572044496355
5062	15939	770.0	0.23	0.33658536585365856	0.3373900092975754	132.50066176879537
5074	5075	1450.0	2.35	2.82	2.9196407516263627	579.3266456682775
5074	17124	910.0	0.81	1.1853658536585365	1.2304452975577516	331.9913856032384
5077	10110	1570.0	0.92	1.104	1.2708173508077487	591.0295112503362
5079	10380	3920.0	0.72	0.864	0.8903644051259405	1506.8434909865475
5081	13954	1570.0	0.35	0.41999999999999993	0.41999999999999993	0.0
5083	5084	1570.0	9.97	11.964000000000002	11.964139882438344	33.261969721976214
5085	16681	8300.0	3.229111	1.862948653846154	3.583772958526526	8373.858410227302
5056	5087	910.0	0.48	0.7024390243902439	0.7057498836870508	188.29663010936244
5088	15964	1450.0	2.8	3.3599999999999994	6.81086998614848	1407.2260592108942
5090	13977	1300.0	0.66	0.9658536585365853	1.678341691118474	1061.1519466615825
5081	13953	1570.0	0.33	0.396	0.3960903277795361	82.05744337953843
5092	13982	2490.0	0.23	0.43125	0.817275642157506	2155.418152219412
5156	15628	2940.0	0.15	0.18	0.18831757761833728	1260.65711677666
5096	34832	2950.0	0.17	0.20400000000000001	0.2672999838301423	2088.8407440135575
5094	7642	1570.0	1.61	1.932	2.2440439576696773	603.1210105956989
5068	5100	8300.0	0.703132	0.4056530769230769	0.44685832970199113	5303.024623394406
5101	5066	8300.0	0.875246	0.5049496153846154	0.5464146124705405	5074.692363470122
5093	34844	1950.0	0.08	0.11707317073170731	0.12749079981403147	896.1699474578875
5104	10104	1450.0	0.88	1.056	1.5378984815319323	1136.5102889097884
5106	10105	1450.0	0.69	0.828	0.8427756675806566	483.9319558202725
5059	15937	910.0	0.21	0.3073170731707317	0.31096928109646543	242.06201159767392
5108	5109	910.0	0.36	0.5268292682926828	0.526829268292884	0.34198571884039963
5133	5110	1000.0	1.119447	1.178365263157895	1.2050672307093242	330.9231068450655
5111	5112	8300.0	0.391504	0.22586769230769232	0.312074164996253	6974.152075038851
5113	7529	2300.0	0.15491	0.17874230769230767	0.17912718010869852	690.2998878414965
5114	5115	1450.0	0.62	0.744	0.7448005874910241	230.9599422286763
5116	5117	1300.0	2.82	4.126829268292682	4.12682962848178	13.945206924083383
5112	26594	6300.0	2.661021	1.535204423076923	5.038963194801955	7664.45196288035
5119	5116	1300.0	0.95	1.3902439024390243	1.3902440237793234	13.945206924083383
11005	12979	8300.0	1.362054	0.7858003846153847	0.8008784439410885	3756.1871534270094
5119	10109	1450.0	0.72	0.864	0.864	0.0
16380	15926	910.0	1.28	1.873170731707317	1.929873971057771	312.04163900115327
5123	15899	910.0	0.1	0.14634146341463414	0.14634310710770648	36.51502091231339
5110	15931	910.0	0.29	0.42439024390243896	0.717382232265527	729.5584880312796
5116	10108	1300.0	0.27	0.3951219512195122	0.3951219512195122	0.0
5115	5119	1450.0	0.29	0.348	0.34800000880671045	13.945206924083383
5107	15892	1860.0	0.08	0.11707317073170731	0.1839497292467194	1416.4008796370072
5127	10807	1950.0	0.62	0.9073170731707316	0.9239302079585346	583.3180399928772
5070	5130	3490.0	0.42	0.42	0.4200777244327328	722.1127869739823
5131	5130	910.0	0.91	1.092	1.207382242010996	485.17387182778845
5130	15948	1950.0	0.87	1.273170731707317	1.5435965739661532	1135.0474854746467
5132	7531	770.0	0.307711	0.45030878048780487	0.4503088126792851	7.824006167396524
5056	5070	1950.0	0.72	1.0536585365853657	1.066211097470231	519.0494565053241
5131	5099	910.0	0.32	0.384	0.384	0.0
5056	5057	910.0	0.1	0.14634146341463414	0.1463419867767106	26.759739494886496
5109	5061	910.0	0.3	0.4390243902439024	0.4520663792604615	310.450340901775
5126	7530	910.0	0.28	0.40975609756097564	0.4900550429752806	518.2282242349149
5126	5109	910.0	0.13	0.1902439024390244	0.19608679597749404	313.27087258930334
5073	5132	770.0	0.07	0.10243902439024391	0.10245246324552047	60.23339926499187
5061	5073	910.0	0.15	0.2195121951219512	0.21951220360525234	7.824006167396524
5117	5133	3920.0	0.91	0.91	0.9671358160028172	2412.9819807094323
5134	5135	910.0	0.4	0.5853658536585366	0.6091315898709634	337.9400100555489
5134	5136	860.0	0.173951	0.32615812499999997	0.5849956051856866	721.3978327913267
5137	5138	770.0	0.141812	0.2658975	0.7050933762209723	782.181651205691
5125	15905	910.0	0.12	0.17560975609756097	0.18827220198903002	394.9922926384597
5139	15923	910.0	0.14	0.20487804878048782	0.240197903854748	500.49946076033075
5123	15900	910.0	0.12	0.17560975609756097	0.17588783632607555	140.0178041758499
5140	15924	910.0	0.15	0.2195121951219512	0.31206307410377704	638.105071472981
5143	15917	1860.0	0.05	0.07317073170731707	0.09778591387323228	1226.6814031600206
5135	5089	910.0	0.45	0.6585365853658537	0.7476559392192208	468.6515431212605
5145	5144	860.0	0.31	0.58125	1.1070144754719333	746.4773741274361
