A	B	C	set	pen
5012	8725	8724	1	-1
5029	5028	5027	1	-1
15628	5156	14019	1	-1
5086	5113	7528	1	-1
5086	5113	7529	1	-1
7528	5113	7529	1	-1
5171	5170	9357	1	-1
5223	5224	5349	2	2
5269	5271	15371	1	-1
5269	5271	8391	1	-1
5270	5271	15392	1	-1
5270	5271	8391	1	-1
5270	5271	15390	1	-1
16318	5283	5282	1	-1
7736	7836	7824	1	-1
5448	5445	5446	1	-1
5468	5467	8261	2	2
5464	5470	16342	1	-1
5464	5470	16342	2	2
5458	5466	16337	1	-1
5458	5466	16337	2	2
5463	5467	5468	2	2
16906	5493	5563	1	-1
5492	9325	9326	1	-1
5682	5717	5716	1	-1
5726	5725	5724	1	-1
5728	5724	5727	1	-1
10234	5779	8214	1	-1
5305	5791	5225	2	2
5788	5285	5310	1	-1
5788	5285	5310	2	2
16313	5791	8192	2	2
5225	5791	16313	1	-1
5225	5791	16313	2	2
5304	5794	5775	1	-1
5799	5797	5798	1	-1
5798	5812	5813	1	-1
5798	5812	5813	2	2
5813	5812	7592	2	2
5812	5813	5799	2	2
7579	5202	13913	2	2
5817	5202	8111	2	2
5865	5864	10235	1	-1
5866	5865	5864	1	-1
5873	5871	5868	1	-1
5873	5874	5876	1	-1
5872	8319	8320	2	2
8819	8792	10008	1	-1
8122	8126	8322	1	-1
5265	5267	15709	1	-1
10009	5887	5890	1	-1
5905	5906	5902	1	-1
5900	5956	5901	1	-1
5982	5983	16070	2	2
9907	5994	15176	2	2
6008	6009	6010	1	-1
8559	6018	6016	1	-1
8559	6018	6016	2	2
15390	5271	15370	1	-1
6077	5277	5279	2	2
6088	6086	6087	1	-1
6093	8401	8402	1	-1
6093	8401	8402	2	2
6095	5333	6094	1	-1
6095	5333	6094	2	2
15370	5271	15371	1	-1
15365	6095	8404	1	-1
6095	8404	6044	1	-1
6099	6098	6010	1	-1
6118	8242	8243	2	2
9855	6122	15346	2	2
6124	6122	9005	1	-1
6112	6120	8952	2	2
6120	6112	15160	2	2
15168	6127	8998	2	2
6042	8961	8959	1	-1
6042	8961	8959	2	2
6047	6127	6126	1	-1
6047	6127	6126	2	2
6126	6127	15168	1	-1
6126	6127	15168	2	2
6043	6128	5322	2	2
15166	6120	6125	2	2
6016	6018	6131	1	-1
6016	6018	6131	2	2
6018	6016	6017	1	-1
6018	6016	6017	2	2
6048	8236	8235	2	2
6062	6016	6018	1	-1
6062	6016	6018	2	2
6130	5994	15150	2	2
15176	5994	6130	2	2
6018	6131	6134	2	2
6135	6121	8513	1	-1
5201	8498	8493	1	-1
5932	6137	5894	1	-1
16075	6021	16067	1	-1
16075	6021	16067	2	2
6155	6154	6161	1	-1
6155	6154	6161	2	2
6161	6155	6154	1	-1
6168	5922	6171	1	-1
6156	6161	6154	1	-1
6156	6161	6154	2	2
6154	6156	6161	1	-1
6154	6161	6155	1	-1
6161	6154	6156	2	2
6154	6161	6155	2	2
6174	6175	6176	1	-1
6179	7716	7715	2	2
7716	6179	6005	2	2
6019	7700	7696	1	-1
6019	7700	7696	2	2
7700	6019	16079	1	-1
7700	6019	16079	2	2
16070	5983	6179	2	2
6179	5983	9940	2	2
6027	6021	16075	1	-1
6027	6021	16075	2	2
10241	6195	10240	1	-1
8554	6200	8557	1	-1
5323	7759	7823	1	-1
10237	5940	10238	1	-1
5940	6198	9922	1	-1
5940	6198	9922	2	2
6200	8557	15181	2	2
15179	6213	6221	1	-1
15179	6213	6221	2	2
6220	8939	8987	1	-1
5997	6200	8556	1	-1
5999	5997	5998	1	-1
6222	5995	8559	1	-1
6222	5995	8559	2	2
5995	6222	6214	1	-1
5995	6222	6214	2	2
6216	5995	6222	1	-1
6216	5995	6222	2	2
6215	6213	15329	2	2
6221	6213	6215	2	2
5327	6220	7814	1	-1
5200	7813	15106	2	2
6227	7760	15216	2	2
7760	6227	6224	1	-1
6199	6197	6217	2	2
6197	6217	6218	2	2
6218	6199	6197	2	2
6217	6218	6199	2	2
6224	6226	15188	1	-1
6224	6226	15188	2	2
6026	6020	16045	1	-1
6026	6020	16045	2	2
5325	6234	7838	1	-1
5325	6234	7838	2	2
5324	6237	5256	2	2
8880	5933	6236	1	-1
8880	5933	6236	2	2
15314	6237	5324	2	2
15312	6234	8897	2	2
6236	5933	6243	2	2
6236	6237	15314	1	-1
6236	6237	15314	2	2
5256	6237	6236	2	2
6243	5933	15277	2	2
6256	6246	6248	1	-1
5349	5224	15285	2	2
6306	6305	9241	1	-1
6306	6305	9241	2	2
7852	6330	15250	2	2
6330	7852	15251	2	2
6330	7852	15251	1	-1
9930	6332	6775	1	-1
9930	6332	6775	2	2
6350	6351	15553	1	-1
6351	6350	15539	1	-1
6350	6351	15553	2	2
6351	6350	15539	2	2
6353	6352	6356	1	-1
