tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	0.36	0.36	0.0
10118	17252	5880.0	0.3	0.36	0.36	0.0
5003	5006	1300.0	4.13	4.13	4.130009103937698	117.41437436220477
5006	5003	1300.0	4.13	4.13	4.1300000011423545	21.864112089111853
5007	5008	1650.0	1.23	2.30625	51.418271853666376	3267.9988142584393
5008	5007	1650.0	1.23	2.30625	12.970825931183553	2193.1374389867638
5009	10122	1570.0	0.54	1.0125000000000002	5.662558109974539	1668.420742242611
10122	5009	1570.0	0.54	1.0125000000000002	2.4363672454280456	1164.335012440616
5011	5001	1300.0	1.47	1.47	1.4700001780097627	68.22386266875945
5001	5011	1300.0	1.47	1.47	1.470009398448457	143.3016766928095
5012	8725	1570.0	2.17	2.604	3.6825574100524565	803.0057068685862
8725	5012	1570.0	2.17	2.604	3.0701888535138795	622.2928450311147
5014	5015	1570.0	1.55	1.86	1.8600008311285343	12.331801423920883
5015	5014	1570.0	1.55	1.86	1.86	0.0
5016	5014	1570.0	6.69	8.028	8.028	0.0
5014	5016	1570.0	6.69	8.028	8.028008113766147	15.803929597444178
5018	5019	5670.0	1.861166	1.0737496153846156	1.0906301570663632	2462.3029995666243
5020	10146	860.0	0.29	0.54375	0.543905297191524	90.94241195238074
10146	5020	860.0	0.29	0.54375	0.54375	0.0
5022	5023	7470.0	1.197082	0.6906242307692307	2.473084645449672	9322.10277943445
5024	5025	770.0	0.55	1.03125	3.075129316729171	820.3101947904063
5025	5024	770.0	0.55	1.03125	1.080075532720435	309.3277536220596
5026	5027	5670.0	0.586561	0.3384005769230769	0.38946932318628386	3931.9426417950517
5028	5027	2070.0	0.500668	0.625835	0.7276765196815075	1413.7645660052847
5029	5028	5880.0	0.26	0.26	0.2600440853042284	1196.8758621074198
5028	5029	5880.0	0.26	0.26	0.2602301542894279	1630.5773855169828
5021	5024	1570.0	0.4	0.75	2.10531172143044	1632.7167182790017
5024	5021	1570.0	0.4	0.75	0.9135399376510578	939.8381692161619
5030	5031	910.0	0.48	0.7024390243902439	0.7088635142866685	225.4422490451491
5031	5030	910.0	0.48	0.7024390243902439	0.70244075801792	24.195279911694534
5032	5033	7470.0	1.89709	1.094475	1.1836821899068155	4560.178344025243
5030	5034	770.0	0.5	0.9375	0.9375561268324931	54.14289001121037
5034	5030	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.41308868375611846	1622.7451396359884
5025	5038	3920.0	0.41	0.41	0.4100896764285288	836.8490883108277
5039	10145	910.0	0.64	0.9365853658536584	0.9457736767082953	229.77763081360604
10145	5039	910.0	0.64	0.9365853658536584	1.4086688922224575	669.8145511055602
5042	10147	1570.0	12.46	14.952	14.952000000249287	0.5560105394021053
10147	5042	1570.0	12.46	14.952	14.952001081312615	7.089741374286824
5006	5043	1300.0	6.14	6.14	6.140013534667667	117.41437436220477
5043	5006	1300.0	6.14	6.14	6.1400000016983185	21.864112089111853
5043	7223	1300.0	3.73	3.73	3.730000451684636	68.22386266875945
7223	5043	1300.0	3.73	3.73	3.730023847763772	143.3016766928095
5044	16696	3870.0	0.229508	0.1324084615384615	0.13276256406813966	1164.8661936748738
5046	5047	1570.0	6.92	8.304	8.304	0.0
5047	5046	1570.0	6.92	8.304	8.304	0.0
5039	10144	770.0	0.51	0.95625	0.9910325928707852	288.74699367765766
10144	5039	770.0	0.51	0.95625	0.9562534084634667	25.91547519576173
5049	5046	770.0	1.25	1.829268292682927	1.829268292682927	0.0
5046	5049	770.0	1.25	1.829268292682927	1.8292692791645173	13.545006985347369
5050	16693	3870.0	0.181224	0.1045523076923077	0.10801649756765164	1960.982259933049
5053	10160	1570.0	4.46	5.352	5.352	0.0
10160	5053	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.876	3.884775975279922	164.85126727584696
15950	5054	1570.0	3.23	3.876	3.8804090868707553	133.72943843950932
5055	5056	1950.0	0.43	0.6292682926829268	0.6293319169436421	142.12180771822298
5056	5055	1950.0	0.43	0.6292682926829268	0.6297382890950374	244.64520553830175
5057	5058	910.0	0.53	0.775609756097561	0.775609756097561	0.0
5058	5057	910.0	0.53	0.775609756097561	0.775609756097561	0.0
5059	15938	1950.0	0.13	0.1902439024390244	0.19204001834601933	487.2758102870479
15938	5059	1950.0	0.13	0.1902439024390244	0.1955400463007086	653.6188967753857
5061	5062	910.0	0.39	0.5707317073170731	0.5782137795827462	248.60077590734858
5062	5061	910.0	0.39	0.5707317073170731	0.5824263636738793	280.66180552380536
5063	16684	8300.0	3.044577	1.756486730769231	3.386255248538576	8381.624433740468
5065	5066	4000.0	0.593473	0.6847765384615385	0.6847837230650028	408.4467841389338
5195	13980	1650.0	0.13	0.24375	0.8299215101055198	1848.8694415561552
13980	5195	1650.0	0.13	0.24375	0.4277848526862661	1366.179624672206
5068	5171	4000.0	0.481766	0.5558838461538462	0.8056405374754363	3540.4960026913955
5070	5071	1570.0	8.52	10.224	10.224025948781046	20.907854189081284
5071	5070	1570.0	8.52	10.224	10.306138331217587	242.25325371874274
5072	15952	910.0	1.09	1.5951219512195125	1.9556701210563465	538.7113388981892
15952	5072	910.0	1.09	1.5951219512195125	1.9724362086527065	545.402918473461
5062	15939	770.0	0.23	0.3365853658536585	0.34517814933012414	252.0958945163399
15939	5062	770.0	0.23	0.3365853658536585	0.3369907460049099	109.98967514029505
5074	5075	1450.0	2.35	2.82	2.910884752245205	565.4604968902196
5075	5074	1450.0	2.35	2.82	2.8795478846928937	505.86890331834843
5074	17124	910.0	0.81	1.1853658536585363	1.6186997396213947	613.8555609036387
17124	5074	910.0	0.81	1.1853658536585363	1.810180226626452	678.0019807130011
5077	10110	1570.0	0.92	1.104	1.1507572241146222	401.52141269747005
10110	5077	1570.0	0.92	1.104	1.1253844935236503	316.54926471855924
5079	10380	3920.0	0.72	0.864	0.9641198713293226	2141.417281708077
10380	5079	3920.0	0.72	0.864	0.8654943501544062	707.5211698001677
5081	13954	1570.0	0.35	0.4199999999999999	0.42002603768448593	55.226876416742215
13954	5081	1570.0	0.35	0.4199999999999999	0.4200472755169437	66.20399494064951
5083	5084	1570.0	9.97	11.964000000000002	11.964227369360843	38.55424501968916
5084	5083	1570.0	9.97	11.964000000000002	11.964006242370791	12.926706647546744
5085	16681	8300.0	3.229111	1.862948653846154	4.13197853334213	8867.066488873117
5056	5087	910.0	0.48	0.7024390243902439	0.8480849801496734	526.2313254423991
5087	5056	910.0	0.48	0.7024390243902439	0.7510493213440254	390.60766902896285
5088	15964	1450.0	2.8	3.3599999999999994	6.856613805255213	1412.115420363666
15964	5088	1450.0	2.8	3.3599999999999994	8.141437703061566	1533.4417785990192
5090	13977	1300.0	0.66	0.9658536585365852	2.474792824347509	1301.038267262065
13977	5090	1300.0	0.66	0.9658536585365852	1.6986712066851075	1069.291336869568
5081	13953	1570.0	0.33	0.396	0.39611824801112877	89.05779462238928
13953	5081	1570.0	0.33	0.396	0.41090169739934	387.35050216435184
5092	13982	2490.0	0.23	0.43125	0.6736316060638051	1908.7358168238136
13982	5092	2490.0	0.23	0.43125	0.6339973629490976	1821.7716692844176
5156	15628	2940.0	0.15	0.18	0.18551496632116926	1131.3437544029866
15628	5156	2940.0	0.15	0.18	0.18115029064267493	748.6830763434418
5096	34832	2950.0	0.17	0.204	0.28248987845814927	2210.590451900047
34832	5096	2950.0	0.17	0.204	0.20906284503538494	1073.9098877744539
5094	7642	1570.0	1.61	1.932	2.354812982019102	661.462964249159
7642	5094	1570.0	1.61	1.932	2.1047056330090816	503.86771557801814
5068	5100	8300.0	0.703132	0.4056530769230769	0.4201155515706368	4269.977640804537
5101	5066	8300.0	0.875246	0.5049496153846154	0.5049497160153004	349.5000616714102
5093	34844	1950.0	0.08	0.1170731707317073	0.12578210187988664	853.6088044660381
34844	5093	1950.0	0.08	0.1170731707317073	0.11712992652298523	217.54845081310592
5104	10104	1450.0	0.88	1.056	1.493159054350447	1107.7146061152127
10104	5104	1450.0	0.88	1.056	1.5535209603496403	1146.1007865366048
5106	10105	1450.0	0.69	0.828	1.1631528816511216	1101.175283440252
10105	5106	1450.0	0.69	0.828	1.4508830263955068	1296.434354283206
5059	15937	910.0	0.21	0.3073170731707317	0.38382957613098717	553.0403750871178
15937	5059	910.0	0.21	0.3073170731707317	0.3340911358232352	415.8175484528672
5108	5109	910.0	0.36	0.5268292682926828	0.5298041792654801	197.76774097484943
5109	5108	910.0	0.36	0.5268292682926828	0.5284400677024409	167.41434765930921
5111	5112	8300.0	0.391504	0.2258676923076923	0.3371298194516027	7352.279384394702
5113	7529	2300.0	0.15491	0.1787423076923076	0.17958536261330976	809.092111111027
5114	5115	1450.0	0.62	0.744	0.765661296190325	550.5273629441158
5115	5114	1450.0	0.62	0.744	1.0899494119820385	1142.1402893700101
5116	5117	1300.0	2.82	4.126829268292682	4.136585675341726	223.02704886602092
5117	5116	1300.0	2.82	4.126829268292682	4.126829268292682	0.0
5112	26594	6300.0	2.661021	1.535204423076923	8.523381650310553	8841.543856033366
5119	5116	1300.0	0.95	1.3902439024390243	1.3935306353101562	223.02704886602092
5116	5119	1300.0	0.95	1.3902439024390243	1.3902439024390243	0.0
11005	12979	8300.0	1.362054	0.7858003846153847	0.8185785043698557	4410.985647288542
5119	10109	1450.0	0.72	0.864	0.864	0.0
10109	5119	1450.0	0.72	0.864	0.864	0.0
16380	15926	910.0	1.28	1.873170731707317	1.8885283117378653	218.84596533188574
15926	16380	910.0	1.28	1.873170731707317	2.204849047471621	504.14860512924054
