tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	4.5	4.5	0.0
5003	5006	1300.0	4.13	4.13	4.168854721821385	561.0018933553989
5007	5008	1650.0	1.23	2.30625	58.02485954808492	3377.512571917071
5009	10122	1570.0	0.54	8.100000000000001	8.100000000000001	0.0
5011	5001	1300.0	1.47	1.47	1.4700016599489152	103.60148492627724
5012	8725	1570.0	2.17	2.604	2.703473830378223	389.1240803516629
5014	5015	1570.0	1.55	1.8599999999999999	1.8600200513097487	32.45125926437008
5016	5014	1570.0	6.69	8.028	8.028000000000059	0.05309143911680001
5018	5019	5670.0	1.861166	1.0737496153846156	1.0813741875667147	2088.8706811154393
5020	10146	860.0	0.29	0.54375	0.5437543135249969	35.67036291305939
5022	5023	9270.0	1.197082	0.6906242307692307	1.07066266521282	8401.869590755254
5024	5025	770.0	0.55	1.03125	2.2199352014773273	712.037632714774
5026	5027	5670.0	0.586561	0.3384005769230769	0.354768636562499	3107.0319944072
5028	5027	2070.0	0.500668	0.625835	0.6297425441335789	713.1397790491113
5029	5028	5240.0	0.26	0.26	0.260033694098623	1014.2851177847203
5021	5024	1570.0	0.4	0.75	1.7541132943517033	1509.7061825777034
5030	5031	910.0	0.48	0.7024390243902439	0.7081051771188992	217.88106361869168
5032	5033	9270.0	1.89709	1.094475	1.1063565806235733	3728.71327480719
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.41317140210723696	1630.789552132454
5039	10145	910.0	0.64	0.9365853658536585	0.9429071041824431	207.58707637831526
5042	10147	1570.0	12.46	14.952	14.95205933012395	23.949712121092045
5006	5043	1300.0	6.14	6.14	6.197764646969324	561.0018933553989
5043	7223	1300.0	3.73	3.73	3.73000421197922	103.60148492627724
5044	16696	3870.0	0.229508	0.13240846153846153	0.13288583095718876	1239.1433565966151
5046	5047	1570.0	6.92	8.304	8.30401647858064	19.40117831133738
5039	10144	770.0	0.51	0.95625	0.9778198094725684	254.87174388281676
5049	5046	770.0	1.25	1.8292682926829267	1.8292719390465637	19.31902532537447
5050	16693	3870.0	0.181224	0.1045523076923077	0.10549949289050752	1499.4482544437415
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.882566289385238	150.93915115876405
5055	5056	1950.0	0.43	0.6292682926829268	0.6292977574788808	115.30813948539058
5057	5058	910.0	0.53	0.775609756097561	0.775609756097561	0.0
5059	15938	1950.0	0.13	0.1902439024390244	0.19121913306622937	412.7998043319593
5061	5062	910.0	0.39	0.5707317073170731	0.5845916938780295	293.91423282569355
5063	16684	8300.0	3.044577	1.7564867307692307	3.8526659903978024	8829.72834161438
5065	5066	4000.0	0.593473	0.6847765384615385	0.6847765384615385	0.0
5195	13980	1650.0	0.13	0.24375000000000002	0.43977918313997544	1388.89403585535
5068	5171	4000.0	0.481766	0.5558838461538462	0.6710233548673289	3026.661392180804
5070	5071	1570.0	8.52	10.224	10.224090419031207	30.55586165209466
5072	15952	910.0	1.09	1.5951219512195123	1.8615364030103565	496.2111546920796
5062	15939	770.0	0.23	0.33658536585365856	0.34019311395377566	199.15938737145197
5074	5075	1450.0	2.35	2.82	3.1171946258154115	772.552208719786
5074	17124	910.0	0.81	1.1853658536585365	1.5632783069162572	591.4590458998186
5077	10110	1570.0	0.92	1.104	1.1051288763093334	129.4666292692209
5079	10380	3920.0	0.72	0.864	0.864525683625745	537.3207007863368
5081	13954	1570.0	0.35	0.41999999999999993	0.4208590122660221	159.8340584916021
5083	5084	1570.0	9.97	11.964000000000002	11.964162461364587	34.80974339631976
5085	16681	8300.0	3.229111	1.862948653846154	5.030653758071313	9500.941049191133
5056	5087	910.0	0.48	0.7024390243902439	0.72598808042073	320.81429779064194
5088	15964	1450.0	2.8	3.3599999999999994	5.412637570831557	1227.2683852536034
5090	13977	1300.0	0.66	0.9658536585365853	1.916740685219154	1147.6854180185037
