tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	4.5	4.5	0.0
5003	5006	1300.0	4.13	4.13	4.130000361457358	64.20227237355623
5007	5008	1650.0	1.23	2.30625	26.180422056264312	2706.8833371871824
5009	10122	1570.0	0.54	8.100000000000001	8.100000000000001	0.0
5011	5001	1300.0	1.47	1.47	1.5091277817711832	681.5163533529822
5012	8725	1570.0	2.17	2.604	2.6042933945046673	66.22364362655767
5014	5015	1570.0	1.55	1.8599999999999999	1.860001405182546	14.46595320617864
5016	5014	1570.0	6.69	8.028	8.028052911766993	27.943560136715288
5018	5019	5670.0	1.861166	1.0737496153846156	1.1993134617223093	3729.802980495585
5020	10146	860.0	0.29	0.54375	0.5437500051660868	6.155594776714278
5022	5023	9270.0	1.197082	0.6906242307692307	0.7177979724824732	4867.303249705978
5024	5025	770.0	0.55	1.03125	1.110136264827104	350.617608012008
5026	5027	5670.0	0.586561	0.3384005769230769	0.3392658343482961	1690.8807759020915
5028	5027	2070.0	0.500668	0.625835	0.6364277018386559	879.1778143151291
5029	5028	5240.0	0.26	0.26	0.26154895270599277	2075.9867199973173
5021	5024	1570.0	0.4	0.75	1.2714952706593723	1272.2797140254734
5030	5031	910.0	0.48	0.7024390243902439	0.702462106547242	48.87591275757468
5032	5033	9270.0	1.89709	1.094475	1.3802615612921851	7200.769440979539
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.41702916130285655	1892.6586579537511
5039	10145	910.0	0.64	0.9365853658536585	0.9709466326837836	328.7673596639779
5042	10147	1570.0	12.46	14.952	14.952007191144032	12.610600809670363
5006	5043	1300.0	6.14	6.14	6.1400005373724404	64.20227237355623
5043	7223	1300.0	3.73	3.73	3.82928341905205	681.5163533529822
5044	16696	3870.0	0.229508	0.13240846153846153	0.135207111465232	1786.7818483632238
5046	5047	1570.0	6.92	8.304	8.305149873831876	70.50703968816161
5039	10144	770.0	0.51	0.95625	0.9564882610283894	78.57351290606461
5049	5046	770.0	1.25	1.8292682926829267	1.8390814490065595	165.02719811039813
5050	16693	3870.0	0.181224	0.1045523076923077	0.1100390597594057	2156.763701671659
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.885982555461845	171.43411776247558
5055	5056	1950.0	0.43	0.6292682926829268	0.6301029408986492	285.94064986224566
5057	5058	910.0	0.53	0.775609756097561	0.775609756097561	0.0
5059	15938	1950.0	0.13	0.1902439024390244	0.19205028417692083	488.03066019443764
5061	5062	910.0	0.39	0.5707317073170731	0.613932032852839	400.23546695076146
5063	16684	8300.0	3.044577	1.7564867307692307	5.396376681353217	9897.892631907062
5065	5066	4000.0	0.593473	0.6847765384615385	0.6847765384615385	0.0
5195	13980	1650.0	0.13	0.24375000000000002	0.46849988472233084	1439.384267021503
5068	5171	4000.0	0.481766	0.5558838461538462	0.5677338920921408	1909.815038984539
