tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	4.5	4.5	0.0
5003	5006	1300.0	4.13	4.13	4.130000002160045	24.631882061358436
5007	5008	1650.0	1.23	2.30625	28.145977111823342	2763.395572865693
5009	10122	1570.0	0.54	8.100000000000001	8.100000000000001	0.0
5011	5001	1300.0	1.47	1.47	1.4712635766996491	358.52518479840444
5012	8725	1570.0	2.17	2.604	2.6043568035022626	70.28165631897068
5014	5015	1570.0	1.55	1.8599999999999999	1.8599999999999999	0.0
5016	5014	1570.0	6.69	8.028	8.02800357860473	12.322752165731888
5018	5019	5670.0	1.861166	1.0737496153846156	1.2011680373005285	3741.136981822786
5020	10146	860.0	0.29	0.54375	0.5437500174415849	8.458158712232985
5022	5023	9270.0	1.197082	0.6906242307692307	0.7296860230629588	5246.900612985309
5024	5025	770.0	0.55	1.03125	1.6596132632722274	602.8342086763943
5026	5027	5670.0	0.586561	0.3384005769230769	0.3401474349523074	1955.4790305138406
5028	5027	2070.0	0.500668	0.625835	0.6385590921247458	913.6667589609757
5029	5028	5240.0	0.26	0.26	0.2619528900451856	2167.9790244244273
5021	5024	1570.0	0.4	0.75	1.397540033238871	1346.2829229439535
5030	5031	910.0	0.48	0.7024390243902439	0.7024492521856582	39.18196398316029
5032	5033	9270.0	1.89709	1.094475	1.5430320337448034	7904.837003834061
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.41767669273687286	1924.1239685129199
5039	10145	910.0	0.64	0.9365853658536585	0.9448454231947483	223.22641628147184
5042	10147	1570.0	12.46	14.952	14.952	0.0
5006	5043	1300.0	6.14	6.14	6.140000003211302	24.631882061358436
5043	7223	1300.0	3.73	3.73	3.733206218428361	358.52518479840444
5044	16696	3870.0	0.229508	0.13240846153846153	0.1348196959353711	1732.5292265375444
5046	5047	1570.0	6.92	8.304	8.304	0.0
5039	10144	770.0	0.51	0.95625	0.9562518391463601	22.058809358537975
5049	5046	770.0	1.25	1.8292682926829267	1.8292682926829267	0.0
5050	16693	3870.0	0.181224	0.1045523076923077	0.1108305765595927	2217.7556159802407
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.8866911501847428	175.04501560955163
5055	5056	1950.0	0.43	0.6292682926829268	0.6292849384957987	98.7424419563647
5057	5058	910.0	0.53	0.775609756097561	0.775609756097561	0.0
5059	15938	1950.0	0.13	0.1902439024390244	0.1920843292738697	490.5118558122955
5061	5062	910.0	0.39	0.5707317073170731	0.5877097065764717	310.56672179990676
5063	16684	8300.0	3.044577	1.7564867307692307	3.0712964415511523	8017.302555644019
5065	5066	4000.0	0.593473	0.6847765384615385	0.6847765610395525	127.15338507326312
5195	13980	1650.0	0.13	0.24375000000000002	0.6343325441852479	1662.8757093369966
5068	5171	4000.0	0.481766	0.5558838461538462	0.6008217066348829	2501.6048551150566
5070	5071	1570.0	8.52	10.224	10.266354352287943	198.07910601659717
5072	15952	910.0	1.09	1.5951219512195123	1.796885713454443	460.1300179196971
5062	15939	770.0	0.23	0.33658536585365856	0.33686734896479836	99.66375272526392
5074	5075	1450.0	2.35	2.82	3.022629456525069	698.4197887695956
5074	17124	910.0	0.81	1.1853658536585365	1.7866705284905842	670.9761668009937
5077	10110	1570.0	0.92	1.104	1.1048218910255032	117.56108332612806
5079	10380	3920.0	0.72	0.864	0.8640000003171734	12.362874912451588
5081	13954	1570.0	0.35	0.41999999999999993	0.42000010908684665	10.456968706835944
5083	5084	1570.0	9.97	11.964000000000002	11.965891342621495	73.40389295399861
5085	16681	8300.0	3.229111	1.862948653846154	3.3709148517570324	8148.142377068325
5056	5087	910.0	0.48	0.7024390243902439	0.7536216828180774	396.1166569572495
5088	15964	1450.0	2.8	3.3599999999999994	5.560186865385845	1249.9134482843288
5090	13977	1300.0	0.66	0.9658536585365853	2.1625442906504637	1221.638808003224
5081	13953	1570.0	0.33	0.396	0.3971329501933098	177.00069335677364
5092	13982	2490.0	0.23	0.43125	0.4978266107408734	1362.0275487438498
5156	15628	2940.0	0.15	0.18	0.18175373538029438	836.6406896679317
5096	34832	2950.0	0.17	0.20400000000000001	0.2748198308663599	2151.521878872308
5094	7642	1570.0	1.61	1.932	1.95435489491837	270.662331349126
5068	5100	8300.0	0.703132	0.4056530769230769	0.433010721473548	4872.078550649419
5101	5066	8300.0	0.875246	0.5049496153846154	0.5049496153982117	55.300645632673735
5093	34844	1950.0	0.08	0.11707317073170731	0.11939598279891664	596.1759918389209
5104	10104	1450.0	0.88	1.056	1.626609306398705	1188.23283587575
5106	10105	1450.0	0.69	0.828	1.0183050164529497	948.6760561041815
5059	15937	910.0	0.21	0.3073170731707317	0.3274121264429139	384.64028655218567
5108	5109	910.0	0.36	0.5268292682926828	0.5302467994277855	205.3601462722861
5133	5110	900.0	1.119447	1.178365263157895	1.2007236466419207	282.67383960207854
5111	5112	8300.0	0.391504	0.22586769230769232	0.2608843277810649	5787.921443822284
5113	7529	2300.0	0.15491	0.17874230769230767	0.18225492149102457	1080.1998930069924
5114	5115	1450.0	0.62	0.744	0.7550066107360713	460.6118648359813
5116	5117	1300.0	2.82	4.126829268292682	4.126829268292682	0.0
5112	26594	6300.0	2.661021	1.535204423076923	3.5972972725104024	6868.121336829282
5119	5116	1300.0	0.95	1.3902439024390243	1.3902439024390243	0.0
11005	12979	8300.0	1.362054	0.7858003846153847	0.8595647335490152	5217.147570497682
5119	10109	1450.0	0.72	0.864	0.864	0.0
16380	15926	910.0	1.28	1.873170731707317	2.606553269402528	625.3961659795293
