tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	4.5	4.5	0.0
5003	5006	1300.0	4.13	4.13	4.130000025474776	39.08514055092362
5007	5008	1650.0	1.23	2.30625	28.195431369900998	2764.775851085089
5009	10122	1570.0	0.54	8.100000000000001	8.100000000000001	0.0
5011	5001	1300.0	1.47	1.47	1.474112156417165	447.1020468881107
5012	8725	1570.0	2.17	2.604	2.6044435785422944	75.08928725931516
5014	5015	1570.0	1.55	1.8599999999999999	1.8599999999999999	0.0
5016	5014	1570.0	6.69	8.028	8.028004165259462	12.90466454363855
5018	5019	5670.0	1.861166	1.0737496153846156	1.246399830930208	3983.880691507648
5020	10146	860.0	0.29	0.54375	0.5437500175796574	8.475594641032096
5022	5023	7470.0	1.197082	0.6906242307692307	0.7694647823548281	4889.451334228739
5024	5025	770.0	0.55	1.03125	1.2380493018143859	450.9658341228704
5026	5027	5670.0	0.586561	0.3384005769230769	0.3398112900212562	1870.8766033847273
5028	5027	2070.0	0.500668	0.625835	0.6402680611073174	938.1563222471109
5029	5028	5880.0	0.26	0.26	0.2610486706374911	2165.5820934003755
5021	5024	1570.0	0.4	0.75	1.44666124284308	1372.2386017933848
5030	5031	910.0	0.48	0.7024390243902439	0.7024492521856582	39.18196398316029
5032	5033	7470.0	1.89709	1.094475	1.9419415987485398	7266.286983112201
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.42208677365003966	2094.6856774684366
5039	10145	910.0	0.64	0.9365853658536585	0.9446717320495258	221.94165603232358
5042	10147	1570.0	12.46	14.952	14.952000000353763	0.6184257065263159
5006	5043	1300.0	6.14	6.14	6.140000037872911	39.08514055092362
5043	7223	1300.0	3.73	3.73	3.7404342472353918	447.1020468881107
5044	16696	3870.0	0.229508	0.13240846153846153	0.13479591162313131	1728.9787777072838
5046	5047	1570.0	6.92	8.304	8.304	0.0
5039	10144	770.0	0.51	0.95625	0.9562535440397212	26.180822838649938
5049	5046	770.0	1.25	1.8292682926829267	1.8292682926829267	0.0
5050	16693	3870.0	0.181224	0.1045523076923077	0.1101876457912988	2168.7227707778875
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.8866911501847428	175.04501560955174
5055	5056	1950.0	0.43	0.6292682926829268	0.62929980881796	117.4353019810695
5057	5058	910.0	0.53	0.775609756097561	0.775609756097561	0.0
5059	15938	1950.0	0.13	0.1902439024390244	0.19214380148589583	494.76711263075043
5061	5062	910.0	0.39	0.5707317073170731	0.5809421899358859	270.5047845071488
5063	16684	8300.0	3.044577	1.7564867307692307	3.2616037363099855	8244.744865034747
5065	5066	4000.0	0.593473	0.6847765384615385	0.684776539934949	73.16251804210512
5195	13980	1650.0	0.13	0.24375000000000002	0.619894412240342	1646.598059923003
5068	5171	4000.0	0.481766	0.5558838461538462	0.5929253885741185	2405.603187599749
5070	5071	1570.0	8.52	10.224	10.262213491955485	191.98076556095762
5072	15952	910.0	1.09	1.5951219512195123	1.7967095428584716	460.02086459004136
5062	15939	770.0	0.23	0.33658536585365856	0.3562297423059646	315.5717575122161
