tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	1.2	1.2202203347339293	1933.0039803919506
5003	5006	1300.0	4.13	4.13	4.130000336875873	63.36176836187323
5007	5008	1650.0	1.23	2.30625	3.7370323035283133	1297.8769172047369
5009	10122	1570.0	0.54	2.16	2.1600143632563253	28.019039504316137
5011	5001	1300.0	1.47	1.47	1.474915258504918	462.2779665739285
5012	8725	1570.0	2.17	2.604	2.604127995593837	51.46505930572655
5014	5015	1570.0	1.55	1.8599999999999999	1.8600016625764457	15.22475672926985
5016	5014	1570.0	6.69	8.028	8.028183571175571	40.7842179357377
5018	5019	5670.0	1.861166	1.0737496153846156	1.112174216863281	2919.211115937002
5020	10146	860.0	0.29	0.54375	0.543763754921976	48.28773779658435
5022	5023	8300.0	1.197082	0.6906242307692307	0.7090335952682937	4020.600032874767
5024	5025	770.0	0.55	1.03125	1.2209681186216739	440.9258519740113
5026	5027	5670.0	0.586561	0.3384005769230769	0.3405628562920387	2043.7468268353641
5028	5027	2070.0	0.500668	0.625835	0.6277129269112078	611.4821302113075
5029	5028	5240.0	0.26	0.26	0.26041136611181886	1619.8911785745404
5021	5024	1570.0	0.4	0.75	1.1970896241282452	1222.1435657735192
5030	5031	910.0	0.48	0.7024390243902439	0.7024463625521846	35.80330084154979
5032	5033	8300.0	1.89709	1.094475	1.3049663870101567	6051.931167984378
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.4218853699022904	2088.1101571446716
5039	10145	910.0	0.64	0.9365853658536585	0.9377146713968239	130.02819326725825
5042	10147	1570.0	12.46	14.952	14.952	0.0
5006	5043	1300.0	6.14	6.14	6.140000500827568	63.36176836187323
5043	7223	1300.0	3.73	3.73	3.7424720504920703	462.2779665739285
5044	16696	3870.0	0.229508	0.13240846153846153	0.13539930755903548	1811.510425602791
5046	5047	1570.0	6.92	8.304	8.305285027418677	72.92926616014658
5039	10144	770.0	0.51	0.95625	0.9571203186928676	110.20824618761864
5049	5046	770.0	1.25	1.8292682926829267	1.8297375307927761	72.26568793827136
5050	16693	3870.0	0.181224	0.1045523076923077	0.11010129348843951	2161.803517320902
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.88783965865403	180.55905704693237
5055	5056	1950.0	0.43	0.6292682926829268	0.6332888527984344	438.24708708820117
