tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	1.2	1.2200168442148323	1927.8611943741512
5003	5006	1300.0	4.13	4.13	4.130000599830413	70.58442219444375
5007	5008	1650.0	1.23	2.30625	3.622472972275469	1269.8950410435332
5009	10122	1570.0	0.54	2.16	2.1600070267065266	22.546337869724784
5011	5001	1300.0	1.47	1.47	1.4774081761399265	499.15947853095145
5012	8725	1570.0	2.17	2.604	2.6040985992636934	47.54099849560418
5014	5015	1570.0	1.55	1.8599999999999999	1.8600016279416194	15.127647503778777
5016	5014	1570.0	6.69	8.028	8.02816767663966	39.67684635926094
5018	5019	5670.0	1.861166	1.0737496153846156	1.1220337750740759	3060.504760990423
5020	10146	860.0	0.29	0.54375	0.5437532897739764	33.23358892637721
5022	5023	8300.0	1.197082	0.6906242307692307	0.7106028647110313	4089.242407532616
5024	5025	770.0	0.55	1.03125	1.3054268217232223	485.4355080631045
5026	5027	5670.0	0.586561	0.3384005769230769	0.34107787736392986	2136.132366211479
5028	5027	2070.0	0.500668	0.625835	0.62777791427785	615.8640025356817
5029	5028	5240.0	0.26	0.26	0.2604399819468276	1640.4031263031573
5021	5024	1570.0	0.4	0.75	1.2035317336039641	1226.7183613630225
5030	5031	910.0	0.48	0.7024390243902439	0.7024681055578132	52.04102940185045
5032	5033	8300.0	1.89709	1.094475	1.324991946118134	6166.8250568187395
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.42055639232949504	2042.292107745833
5039	10145	910.0	0.64	0.9365853658536585	0.9377585149739834	131.38030078219862
5042	10147	1570.0	12.46	14.952	14.952	0.0
5006	5043	1300.0	6.14	6.14	6.140000891757563	70.58442219444375
5043	7223	1300.0	3.73	3.73	3.748797617008113	499.15947853095145
5044	16696	3870.0	0.229508	0.13240846153846153	0.13543897426383503	1816.4563451437346
5046	5047	1570.0	6.92	8.304	8.305337673729063	73.82476748699086
5039	10144	770.0	0.51	0.95625	0.9569194713832984	102.90946745964551
