tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	1.2	1.4393708246811086	3706.1338720767208
5003	5006	1300.0	4.13	4.13	4.130405920202837	238.94740168848733
5007	5008	1650.0	1.23	2.30625	5.671973952488996	1622.7720476223835
5009	10122	1570.0	0.54	2.16	2.1732197263293225	223.02617877514982
5011	5001	1300.0	1.47	1.47	1.47001123739115	148.17420913720684
5012	8725	1570.0	2.17	2.604	2.6078900456584866	145.277818604564
5014	5015	1570.0	1.55	1.8599999999999999	1.8601029679673833	53.35892283225843
5016	5014	1570.0	6.69	8.028	8.028000000000612	0.10806290118416681
5018	5019	5670.0	1.861166	1.0737496153846156	1.082804150766454	2164.511150060478
5020	10146	860.0	0.29	0.54375	0.5439126324591684	92.04520261882475
5022	5023	8300.0	1.197082	0.6906242307692307	1.092656430103064	7610.804121792197
5024	5025	770.0	0.55	1.03125	2.1730725747633195	704.5971151403405
5026	5027	5670.0	0.586561	0.3384005769230769	0.3511838009982847	2952.0874910180682
5028	5027	2070.0	0.500668	0.625835	0.6280931756770538	635.6107125055778
5029	5028	5240.0	0.26	0.26	0.2611908208236944	1976.3249609321329
5021	5024	1570.0	0.4	0.75	2.3115808192145324	1694.2561653340958
5030	5031	910.0	0.48	0.7024390243902439	0.7049291952597183	174.27802081877954
5032	5033	8300.0	1.89709	1.094475	1.129388353445144	4172.822605655554
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.4259759571253259	2206.928394774778
5039	10145	910.0	0.64	0.9365853658536585	0.9429822141518314	208.25406569068753
5042	10147	1570.0	12.46	14.952	14.952	0.0
5006	5043	1300.0	6.14	6.14	6.140603474587269	238.94740168848733
5043	7223	1300.0	3.73	3.73	3.730028513924483	148.17420913720684
5044	16696	3870.0	0.229508	0.13240846153846153	0.1327371844000857	1147.0755844380456
5046	5047	1570.0	6.92	8.304	8.30406101788887	28.88256904690597
5039	10144	770.0	0.51	0.95625	0.9789248066510198	258.2190369730756
5049	5046	770.0	1.25	1.8292682926829267	1.829271102067579	17.99811281693959
5050	16693	3870.0	0.181224	0.1045523076923077	0.1061997910141611	1681.423753514565
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.8855415196364516	169.09565932631583
5055	5056	1950.0	0.43	0.6292682926829268	0.6305889383964873	323.89251002051884
5057	5058	910.0	0.53	0.775609756097561	0.7756319378976032	47.066683831779486
5059	15938	1950.0	0.13	0.1902439024390244	0.19045296989187246	271.69926224444794
5061	5062	910.0	0.39	0.5707317073170731	0.618512799958589	411.3421361314562
5063	16684	8300.0	3.044577	1.7564867307692307	2.9691120907779993	7884.191210622525
5065	5066	4000.0	0.593473	0.6847765384615385	1.0329865033296362	3630.366852939069
5195	13980	1650.0	0.13	0.24375000000000002	0.31224054902264586	1055.352980912851
5068	5171	4000.0	0.481766	0.5558838461538462	0.8336474069616262	3617.5227165915976
5070	5071	1570.0	8.52	10.224	10.224020161702816	19.364197679751253
5072	15952	910.0	1.09	1.5951219512195123	1.9873617301586717	551.1800244996294
5062	15939	770.0	0.23	0.33658536585365856	0.33694080299095447	106.13135511455329
5074	5075	1450.0	2.35	2.82	2.9337992643591395	599.9589827838815
5074	17124	910.0	0.81	1.1853658536585365	1.2562194355009837	375.3740904167329
5077	10110	1570.0	0.92	1.104	1.2075429061190257	511.2749264195895
5079	10380	3920.0	0.72	0.864	0.9159278246210463	1801.3763979020748
5081	13954	1570.0	0.35	0.41999999999999993	0.41999999999999993	0.0
5083	5084	1570.0	9.97	11.964000000000002	11.964343803835234	43.7175099635276
5085	16681	8300.0	3.229111	1.862948653846154	3.725297219020594	8511.943645504896
5056	5087	910.0	0.48	0.7024390243902439	0.7128087297207508	256.7487046709606
5088	15964	1450.0	2.8	3.3599999999999994	7.110681699333686	1438.4461943478918
5090	13977	1300.0	0.66	0.9658536585365853	1.7508297422068653	1089.4470942264984
5081	13953	1570.0	0.33	0.396	0.3960950457364367	83.33716902906723
5092	13982	2490.0	0.23	0.43125	0.7935146697990593	2119.951640821575
5156	15628	2940.0	0.15	0.18	0.1869607940178976	1202.8934609128914
5096	34832	2950.0	0.17	0.20400000000000001	0.30908676871961765	2387.1979396113547
5094	7642	1570.0	1.61	1.932	2.0339000603236927	429.21167729506124
5068	5100	8300.0	0.703132	0.4056530769230769	0.4419495518216689	5165.634351082595
5101	5066	8300.0	0.875246	0.5049496153846154	0.5389331202082087	4869.980779037996
5093	34844	1950.0	0.08	0.11707317073170731	0.12661191828043195	874.9721692421886
5104	10104	1450.0	0.88	1.056	1.5915294024852316	1168.540560267992
5106	10105	1450.0	0.69	0.828	0.8468536179920345	516.0159680293993
5059	15937	910.0	0.21	0.3073170731707317	0.31107709152724017	243.9822018890302
5108	5109	910.0	0.36	0.5268292682926828	0.5268292750242208	5.792712304030498
5133	5110	1000.0	1.119447	1.178365263157895	1.2030849529132919	323.4976872117622
5111	5112	8300.0	0.391504	0.22586769230769232	0.3226105838560142	7142.57550727003
5113	7529	2300.0	0.15491	0.17874230769230767	0.17897142475366515	621.4727944998106
5114	5115	1450.0	0.62	0.744	0.744745427286229	226.65784290761079
5116	5117	1300.0	2.82	4.126829268292682	4.126830145588017	17.759438973510985
5112	26594	6300.0	2.661021	1.535204423076923	5.264523076321118	7764.04830176984
5119	5116	1300.0	0.95	1.3902439024390243	1.390244197981779	17.759438973510985
11005	12979	8300.0	1.362054	0.7858003846153847	0.8040165131358092	3906.063172500518
5119	10109	1450.0	0.72	0.864	0.864	0.0
16380	15926	910.0	1.28	1.873170731707317	1.9442034067272973	331.732929922782
5123	15899	910.0	0.1	0.14634146341463414	0.1463445195207378	43.21416187637806
5110	15931	910.0	0.29	0.42439024390243896	0.6999297010455101	717.4903150441551
5116	10108	1300.0	0.27	0.3951219512195122	0.3951219512195122	0.0
5115	5119	1450.0	0.29	0.348	0.3480000220538017	17.759438973510985
5107	15892	1860.0	0.08	0.11707317073170731	0.16894665971674766	1321.9684791803834
5127	10807	1950.0	0.62	0.9073170731707316	0.9227914667895548	572.1762864820878
5070	5130	3490.0	0.42	0.42	0.4201032268940685	761.4885467016265
5131	5130	910.0	0.91	1.092	1.1936095663985546	469.1992513855252
5130	15948	1950.0	0.87	1.273170731707317	1.561452624921034	1154.9311852061082
5132	7531	770.0	0.307711	0.45030878048780487	0.45030885679226496	9.890696848359873
5056	5070	1950.0	0.72	1.0536585365853657	1.0683106373306364	541.3166383348743
5131	5099	910.0	0.32	0.384	0.384	0.0
5056	5057	910.0	0.1	0.14634146341463414	0.1463456486599251	47.066683831779486
5109	5061	910.0	0.3	0.4390243902439024	0.4560974916767768	334.0109324693646
5126	7530	910.0	0.28	0.40975609756097564	0.4737931403636886	487.3362414996709
5126	5109	910.0	0.13	0.1902439024390244	0.19857452502317335	344.9528108676193
5073	5132	770.0	0.07	0.10243902439024391	0.10248120275619714	82.17656997727268
5061	5073	910.0	0.15	0.2195121951219512	0.2195122343851628	11.861968887320618
5117	5133	3920.0	0.91	0.91	0.9738203938631202	2463.4560894473957
5134	5135	910.0	0.4	0.5853658536585366	0.6067030570686854	328.18977242788145
5134	5136	860.0	0.173951	0.32615812499999997	0.5902380320524345	725.1854924161248
5137	5138	770.0	0.141812	0.2658975	0.9543284244871909	879.604706987803
5125	15905	910.0	0.12	0.17560975609756097	0.18114603803306603	315.5028579084932
5139	15923	910.0	0.14	0.20487804878048782	0.2153380066200233	359.6388391238305
5123	15900	910.0	0.12	0.17560975609756097	0.17607764044243968	161.27090859245456
5140	15924	910.0	0.15	0.2195121951219512	0.25550091884318926	493.71747156060803
5143	15917	1860.0	0.05	0.07317073170731707	0.09828928287210664	1233.4443263392786
5135	5089	910.0	0.45	0.6585365853658537	0.7370119806471803	452.73839897964814
5145	5144	860.0	0.31	0.58125	0.9909328239169037	699.3927811580979
5142	5138	910.0	0.49	0.7170731707317073	1.0453500460367522	652.5340730346254
5146	5147	910.0	1.14	1.668292682926829	1.9567752484716026	500.91399807343544
5141	15922	910.0	0.16	0.23414634146341462	0.2415908948408386	316.2301301403109
5146	5148	910.0	0.37	0.5414634146341463	0.5638710336809145	339.6992741192253
5114	5146	1860.0	0.04	0.058536585365853655	0.06893718801053507	1031.419137636504
5141	5139	910.0	0.14	0.20487804878048782	0.26920185632563676	588.9998132973034
5148	15921	910.0	0.15	0.2195121951219512	0.2235865059058831	273.22185515409654
5147	16380	1450.0	0.12	0.12	1.0999107262558172	2219.2626321371126
5147	5134	910.0	0.107881	0.15787463414634148	1.373568106826	1404.5545486871583
16380	5117	1860.0	0.35	0.5121951219512194	2.6982398322718293	2445.696650473885
5138	5147	2500.0	0.108333	0.11818145454545453	0.17625743459509746	1840.1401124102767
5149	15915	910.0	0.21	0.3073170731707317	0.3205703675352373	343.5256005842185
5140	15913	860.0	0.21	0.39375	0.4008711069069832	268.7021845209527
5105	15907	1950.0	0.28	0.3360000000000001	0.5144404504139308	1590.6962400667499
5125	15902	910.0	0.17	0.24878048780487805	0.2927123493440225	503.77783326329074
5105	15909	910.0	0.08	0.11707317073170731	0.24209623313880635	821.3201204426632
5149	15903	910.0	0.13	0.1902439024390244	0.19818210343704717	340.46167634633525
5151	10107	1950.0	0.12	0.17560975609756097	0.22755163746334417	1241.8581385466355
5151	15910	910.0	0.086109	0.12601317073170734	0.1337422315162782	378.01286193149093
5137	5136	860.0	0.17	0.31875000000000003	0.3359362692793141	357.4118487333443
5136	15918	860.0	0.2	0.375	0.42932727285339856	462.67421520163487
5150	15912	770.0	0.164517	0.308469375	0.6364856785309503	697.1995248345713
5136	5145	860.0	0.31	0.58125	0.6526010268137982	443.0825567661405
5152	15930	1950.0	0.22	0.32195121951219513	0.381582520690864	1093.603905313516
5153	5063	4000.0	0.419024	0.4834892307692308	0.541557094081705	2710.3985622623754
5152	5113	1000.0	1.01437	1.0677578947368422	1.0683322074541242	110.09474946280702
5121	5153	4000.0	0.425167	0.49057730769230773	0.4907862942855013	864.7150242073769
5086	5111	8300.0	0.408805	0.23584903846153843	0.41475653108844796	8039.400117758335
5154	5153	1950.0	0.13	0.1902439024390244	0.616686748522026	2152.6094183562154
5121	5063	8300.0	0.826275	0.47669711538461534	0.5196768820262909	5173.792648360147
5086	5113	4000.0	0.535942	0.6183946153846154	0.6184079425868921	472.5435277465652
5133	5074	910.0	0.08	0.096	0.23973346717789898	975.3330732006127
5111	5154	2300.0	0.3856	0.4449230769230769	0.4484120542180203	896.8246104883054
5113	7528	1950.0	0.12	0.17560975609756097	0.22972878438080538	1255.784807867911
5133	5113	1950.0	0.1	0.14634146341463414	0.34452169039264297	1877.2576023677166
5153	5155	1950.0	0.04	0.058536585365853655	0.09219594667679627	1487.5965331459115
5155	5152	1950.0	0.06	0.08780487804878048	0.10413185680609456	1094.769218327474
5155	5110	910.0	0.07	0.10243902439024391	0.11629767739539666	468.6115286556291
5108	17127	1950.0	0.13	0.1902439024390244	0.20012944105611488	774.3528822989265
5144	5089	1950.0	0.23	0.33658536585365856	0.846781376033468	1935.6121495633179
5104	5106	1450.0	0.95	1.14	1.4276462631232811	972.2860373555756
5158	26560	1450.0	0.35	0.41999999999999993	1.3083886349895972	1702.1789323727544
5106	30815	1450.0	1.18	1.416	7.205124672762199	2024.8152135096202
5156	35222	2940.0	0.31	0.372	0.392722529313648	1324.2729612500175
5160	13957	1570.0	0.52	0.624	0.6240461232949515	58.259546036136335
5161	13956	1570.0	0.32	0.384	0.4249780098427193	531.7365947599851
5162	10111	1570.0	3.1	3.7199999999999998	3.720162696328167	49.67024462075073
16639	16638	1570.0	0.03	0.036	0.036	0.0
5170	5171	2490.0	0.32	0.6	1.39949470682062	2391.414637711639
5172	13985	1650.0	0.67	1.25625	3.3595255947369194	1682.036731453465
5170	9357	1860.0	0.599896	0.7198752	0.7744864081845874	908.803081200731
5177	5178	8300.0	0.792404	0.4571561538461538	0.5180898290939433	5609.72564449828
5179	5180	8300.0	0.783648	0.4521046153846154	0.5541314240149818	6255.548159231694
5177	5181	2300.0	0.420305	0.48496730769230767	1.3062098986026551	2663.2957397269397
5174	5180	2300.0	0.410227	0.4733388461538462	0.7987402364715155	2218.8968644353135
5174	5181	2790.0	0.17	0.31875000000000003	0.5663999147629563	2327.4212953150163
5183	14028	1850.0	0.31	0.58125	1.1790328886989636	1660.544231938866
5184	5185	4300.0	0.532047	0.3069501923076923	0.4772902814012121	3904.116188275456
5186	5187	4300.0	0.453282	0.2615088461538461	0.8339621791101768	5186.333368028872
5190	9345	910.0	0.16	0.23414634146341462	0.23414634146341462	0.0
5185	5179	2300.0	0.142623	0.164565	0.3296587060222982	2395.394897565197
5185	5175	2300.0	0.331869	0.38292576923076926	0.42210668651216465	1508.7212907102482
5176	5186	2300.0	0.296112	0.3416676923076923	0.5791605003050434	2223.8679048833706
5178	5186	2300.0	0.104079	0.12009115384615385	0.46411002918796046	2962.465463145506
5173	5183	1650.0	0.15	0.2195121951219512	1.034594671980025	2089.0416436954592
5189	5191	1650.0	0.15	0.2195121951219512	0.9549165689931162	2031.4836061050883
5173	5172	1650.0	0.05	0.09375	0.25071086527887454	1682.036731453465
5182	32891	1950.0	0.18	0.2634146341463414	0.268122007897176	579.4807696643961
5171	5065	2490.0	0.11	0.20625	1.1740413344880087	3322.307262826384
5192	5065	1850.0	0.068066	0.12762375	0.5613349760767993	2268.9144910758127
5187	5192	2300.0	0.349262	0.4029946153846154	1.5596418205062568	2963.612770343657
5193	5184	2300.0	0.230345	0.2657826923076923	0.664417194774772	2598.6350988593504
5192	5193	2300.0	0.20242	0.23356153846153846	0.2965535813863025	1835.8933044937849
5187	5101	2300.0	0.129873	0.14985346153846152	0.2537513239461692	2222.7205976852188
5100	5184	2300.0	0.070041	0.08081653846153847	0.0848637089227195	1305.481089416097
5171	5193	1650.0	0.063037	0.09224926829268291	0.25753141310061595	1713.9237840260566
5065	10605	2490.0	0.05	0.09375	0.2871984148777847	2680.759149577818
5195	13981	1650.0	0.15	0.28125	0.39494788419504584	1160.5261845887067
5195	13984	1650.0	0.16	0.3	0.344047629513568	890.7982838952506
9338	5194	1650.0	0.36	0.6749999999999999	1.2271299406342517	1395.0560493983603
5090	5170	2490.0	0.21	0.39375	2.19475510978531	3300.2177189123718
5161	13958	1570.0	0.98	1.176	1.1764724661169041	97.46317036653774
5165	13997	3920.0	0.77	0.924	0.9299085751636696	998.4110329666487
5165	5161	1570.0	2.35	2.82	3.3435298301685963	629.1997651265222
5162	5160	1570.0	1.16	1.392	1.394767816658856	158.46936499938667
5080	5082	1570.0	0.42	0.504	0.5040177456934343	46.50209050777485
5095	17212	1300.0	0.29	0.42439024390243896	0.42439024390243896	0.0
5197	5198	1570.0	9.19	11.027999999999999	11.027999999999999	0.0
5197	5199	1570.0	6.92	8.304	8.304	0.0
5054	15954	1570.0	3.29	3.948	3.948030226026825	29.24532917331451
5084	5197	1570.0	0.5	0.6	0.6	0.0
5083	10161	1570.0	9.93	11.916	11.916	0.0
5202	5203	1570.0	0.17	0.31875000000000003	0.3263406575000452	527.0868514211242
5204	5205	910.0	0.76	0.912	1.0965120254922256	575.7080844376907
5206	5207	770.0	0.68	1.2750000000000001	1.2837034756142747	186.5318720518244
5208	10308	5240.0	0.608936	0.608936	0.6222746366275053	2648.6806623578523
5209	13650	910.0	0.61	0.8926829268292682	1.1643015140906208	584.0063834031696
5211	5212	770.0	0.41	0.7687499999999999	0.8766602257492034	410.8537163754986
5213	5212	770.0	0.23	0.33658536585365856	0.43774260264403325	492.5054186785361
5215	5216	1570.0	0.42	0.7875	0.7876997981995356	160.96731784133237
5209	13651	1950.0	0.22	0.32195121951219513	0.653176788308635	1742.232288623507
5219	5206	770.0	0.19	0.35625	2.5790368353373974	1106.7554456387552
5221	7575	770.0	0.34	0.6375000000000001	0.6589296771711852	282.8598156593454
5223	5224	1950.0	0.26	0.48750000000000004	0.4953236055844416	590.5467882554369
5225	5226	1760.0	0.11	0.20625	0.2786908336619923	1193.2576761385171
5232	7800	2370.0	0.21	0.39375	0.448081720154169	1258.9270853263106
5234	5235	1740.0	0.23	0.33658536585365856	0.42580703377412654	1075.6232127630653
5236	5237	2490.0	0.22	0.4125	0.7002051156650584	2019.4394082103695
5243	16268	770.0	0.46	0.8625	1.5466220991498172	645.8155383247412
5245	5246	1570.0	0.55	1.03125	1.0313475559295375	124.40599588257098
5247	5044	4000.0	0.548783	0.6332111538461539	0.6332111538611122	29.342416768604988
5247	5248	5670.0	0.579544	0.33435230769230767	0.6168772101623083	5615.978544644749
5051	5249	4000.0	0.696578	0.8037438461538462	0.8037446485463486	253.6655986791361
5250	5249	5670.0	0.200229	0.11551673076923076	0.1313091113874049	3852.343348866522
5251	5252	5400.0	1.019864	0.8269167567567568	1.1536245220831758	4211.97519262889
5253	5254	3690.0	1.019454	0.8265843243243244	1.1231071749634627	2813.7423041200595
5255	9935	2660.0	0.12	0.22499999999999998	0.23111790597065707	924.4957704922366
5258	15098	2660.0	0.016732	0.0313725	0.0344639424604758	1294.0353189373889
5260	8853	810.0	0.13	0.52	0.52091595973155	128.28880613509506
5262	15702	1950.0	0.01	0.04	0.0670012670683377	1553.8204907828747
5261	8839	810.0	0.17	0.68	0.6800000038395968	4.1304581690803035
5266	8807	910.0	0.22	0.88	0.88	0.0
5269	5271	1570.0	0.23	0.43125	0.5527359070334944	1004.8553363501824
5270	5271	1650.0	0.405014	0.75940125	0.7606932085889484	278.07251221504777
5272	9060	2370.0	0.01	0.01875	0.018835939164656184	517.4055380799505
5274	5275	6150.0	1.016569	0.8242451351351352	0.8782676494712858	3147.5492946617355
5278	5277	810.0	0.22	0.32195121951219513	0.324003598632576	181.9292002026603
5276	5279	1230.0	0.585106	0.8562526829268292	0.8562526829268292	0.0
5281	5282	860.0	0.12	0.22499999999999998	0.22781001070799384	243.93578262486494
5283	16318	2950.0	0.11	0.16097560975609757	0.16118251573981243	428.89868727742123
5283	5282	2950.0	0.2	0.2926829268292683	0.3803163080199702	1884.9495034758993
5285	16319	2950.0	0.11	0.16097560975609757	0.16244662912498373	730.6594014832347
5279	5286	3920.0	0.771033	0.771033	0.8168507946314538	2050.8779625660195
5287	5288	6150.0	1.428761	1.1584548648648647	1.166855616110474	1878.1044383879328
5289	8216	4100.0	0.295699	0.23975594594594596	0.24994027301956465	1895.4033680149996
5291	8215	3750.0	0.100855	0.11637115384615385	0.11968353651804071	1898.4042112557345
5293	5294	1570.0	0.220178	0.41283375	0.4496689383915384	744.2204278593136
5296	5297	1570.0	0.234767	0.440188125	0.44433184303210294	413.6305184982285
5300	5301	4100.0	0.27608	0.22384864864864865	0.2915542071624054	3003.731062212122
5302	8153	1960.0	0.24991	0.24991000000000002	0.2502565516236671	591.1460265072099
5293	8156	910.0	0.12	0.17560975609756097	0.37608153527295063	836.3367593489108
5302	5304	2050.0	0.3	0.24324324324324326	0.245445891629979	659.5153099756725
5305	5306	1570.0	0.224133	0.420249375	0.47797383960221684	832.9803645276139
5307	5308	4100.0	1.297448	1.0519848648648649	1.861363527106867	3739.094635364418
5309	16331	770.0	0.26	0.48750000000000004	0.4883476297443874	130.50704826863773
5310	5311	1570.0	0.11	0.20625	0.21144628484066422	534.900286064806
5773	8219	2790.0	0.19	0.35625	0.3604122485241395	777.7140339614261
5313	5314	2950.0	0.703783	0.8445396000000001	5.077551585653826	4156.4124723043715
5314	16510	2950.0	0.070259	0.070259	0.5826184443707942	4519.541569881998
5316	8804	1760.0	0.05	0.2	0.20804827188119634	677.6413257728938
5318	15295	1850.0	0.06	0.11249999999999999	0.11411687564945533	544.3515775960277
5269	9058	860.0	0.01	0.01875	0.0563144756693726	918.7753450444623
7736	7836	910.0	0.41	0.6	0.8698388782366314	649.38983702162
6772	7838	2500.0	1.13	1.2327272727272727	1.4970535940309924	1807.5717972749649
5328	15288	2950.0	0.12	0.17560975609756097	0.17809195180433762	822.5526461591464
5246	5036	3140.0	3.23	3.8760000000000003	3.8763553865505846	124.40599588257098
5329	5284	1860.0	0.31	0.4536585365853658	0.5363339402596372	1038.5493796605988
5330	15388	1570.0	0.09	0.16874999999999998	0.1687500834443608	31.545111525600817
5332	7861	1570.0	0.01	0.01875	0.02274328186484872	934.0719964932633
5334	5335	8300.0	1.082539	0.6245417307692307	1.2371720597441052	8478.656768488408
5336	5337	8300.0	1.264299	0.7294032692307693	1.66778178271128	8968.073494300366
5338	5339	6300.0	6.671841	3.849139038461538	9.474386667296535	6989.070976861546
5340	5341	6300.0	6.575783	3.7937209615384617	6.833075101671971	6171.561307752787
5314	15672	1760.0	0.12	0.22499999999999998	0.26463330623287584	996.4605114081816
5343	7884	2790.0	0.01	0.01875	0.018768604356984	408.4350030890539
5344	8785	1760.0	0.552089	1.035166875	1.2625315258649987	1055.574200330599
5345	10005	6980.0	0.16	0.3	0.359692034108939	4079.650824091613
5348	10010	1570.0	3.46	13.84	13.853750671076872	128.33988503021726
5349	15283	1760.0	0.04	0.075	0.08788782260295575	990.0339567000542
5352	10214	1570.0	0.19	0.228	0.362066826827163	893.254528077768
5354	10158	1570.0	0.69	0.828	1.9592473381819964	1154.155188332751
5356	13466	910.0	1.15	1.6829268292682924	4.126068781030724	892.7510508781714
5435	5358	1950.0	0.57	0.8341463414634145	2.709801099330988	2154.441789690185
5359	5356	810.0	0.7	1.0243902439024388	4.584391188169067	1007.2504496754095
5360	5088	3320.0	5.73	8.385365853658538	9.35027173934368	1636.1316815158946
5361	15963	1070.0	0.15	0.16363636363636364	0.1668761196983806	269.7158970341868
5364	13633	770.0	0.5	0.9375	5.0774113226224316	1011.2179679323717
5366	5364	770.0	0.16	0.23414634146341462	0.6305886637232887	787.6349874812776
5076	17123	2950.0	0.19	0.228	0.23393213924353018	1087.352690499915
5368	5367	1570.0	3.8	4.56	6.1251494933928	758.4252162712629
5367	15946	1950.0	0.36	0.5268292682926828	1.7716416004206124	2183.6371705387623
5055	5087	910.0	0.27	0.3951219512195122	0.3951219512195122	0.0
5369	15944	910.0	0.22	0.32195121951219513	0.6416590448383255	805.263852164637
5370	5371	1860.0	0.14	0.20487804878048782	0.20487804878048782	0.0
5372	5369	910.0	0.53	0.775609756097561	0.7756339430741307	48.18607921491741
5371	5373	1860.0	0.12	0.17560975609756097	0.1756348990299023	148.9952156456421
5372	5370	1950.0	0.11	0.16097560975609757	0.16994993858377508	789.2905310811389
5374	5375	910.0	0.32	0.46829268292682924	0.46829268292682924	0.0
5058	5374	910.0	0.22	0.32195121951219513	0.3219604270518353	47.066683831779486
5375	5055	910.0	0.1	0.14634146341463414	0.14634146341463414	0.0
5373	15941	1950.0	0.06	0.08780487804878048	0.09705749756168626	938.2857467267802
