tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	1.2	1.4327485434127902	3678.848774524969
5003	5006	1300.0	4.13	4.13	4.130496225319474	248.099168391476
5007	5008	1650.0	1.23	2.30625	5.4320651170699366	1591.7327685932755
5009	10122	1570.0	0.54	2.16	2.170119965197228	205.62896019507474
5011	5001	1300.0	1.47	1.47	1.470004128317585	122.85721485178183
5012	8725	1570.0	2.17	2.604	2.6077247322814263	143.3728432935423
5014	5015	1570.0	1.55	1.8599999999999999	1.8600978343324044	52.535882794209506
5016	5014	1570.0	6.69	8.028	8.028000000000556	0.1050035499954818
5018	5019	5670.0	1.861166	1.0737496153846156	1.0816220264963416	2102.7441570407364
5020	10146	860.0	0.29	0.54375	0.5439337926786472	95.03301054750297
5022	5023	8300.0	1.197082	0.6906242307692307	1.0940039028053798	7616.075927247853
5024	5025	770.0	0.55	1.03125	2.024269396378316	679.3656653529192
5026	5027	5670.0	0.586561	0.3384005769230769	0.3509480871621469	2940.7394970261853
5028	5027	2070.0	0.500668	0.625835	0.6280549600668015	633.337812667864
5029	5028	5240.0	0.26	0.26	0.26122738812954716	1987.5410893977748
5021	5024	1570.0	0.4	0.75	2.2529016352936555	1677.3932200155818
5030	5031	910.0	0.48	0.7024390243902439	0.7047012887340451	169.79339899070897
5032	5033	8300.0	1.89709	1.094475	1.1360152957209604	4325.630348984675
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.4253982276988377	2191.7712763823683
5039	10145	910.0	0.64	0.9365853658536585	0.9430084128778154	208.485372739024
5042	10147	1570.0	12.46	14.952	14.952	0.0
5006	5043	1300.0	6.14	6.14	6.140737729651712	248.099168391476
5043	7223	1300.0	3.73	3.73	3.7300104752548244	122.85721485178183
5044	16696	3870.0	0.229508	0.13240846153846153	0.132761303234306	1164.0066557707949
5046	5047	1570.0	6.92	8.304	8.304062012284797	29.02483286702527
5039	10144	770.0	0.51	0.95625	0.980122115851816	261.7125750431751
5049	5046	770.0	1.25	1.8292682926829267	1.8292712129887774	18.188399496649858
5050	16693	3870.0	0.181224	0.1045523076923077	0.10612170323332416	1664.6122419591395
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.8855415196364516	169.09565932631537
5055	5056	1950.0	0.43	0.6292682926829268	0.6304613124034697	315.0742286197797
5057	5058	910.0	0.53	0.775609756097561	0.775631661609924	46.9067331154867
5059	15938	1950.0	0.13	0.1902439024390244	0.19048320949838837	281.853165964608
5061	5062	910.0	0.39	0.5707317073170731	0.6219168012110267	419.10282820553357
5063	16684	8300.0	3.044577	1.7564867307692307	2.9458304821570453	7852.625063914353
5065	5066	4000.0	0.593473	0.6847765384615385	1.043069428905776	3651.4128633399623
5195	13980	1650.0	0.13	0.24375000000000002	0.3169984157325231	1074.027220504061
5068	5171	4000.0	0.481766	0.5558838461538462	0.8350807802995748	3621.295265084314
5070	5071	1570.0	8.52	10.224	10.22402002808205	19.325099667792447
5072	15952	910.0	1.09	1.5951219512195123	1.9881107240243416	551.465682441055
5062	15939	770.0	0.23	0.33658536585365856	0.3375349008637577	138.59515446145394
5074	5075	1450.0	2.35	2.82	2.933286826329538	599.2462303152537
5074	17124	910.0	0.81	1.1853658536585365	1.252946767188679	370.58365638495223
5077	10110	1570.0	0.92	1.104	1.1901165606563797	483.4239363504485
5079	10380	3920.0	0.72	0.864	0.9113126846103008	1757.7524517020875
5081	13954	1570.0	0.35	0.41999999999999993	0.4200000000000737	0.13935570804199543
5083	5084	1570.0	9.97	11.964000000000002	11.964336468073014	43.43185202210286
5085	16681	8300.0	3.229111	1.862948653846154	3.6725038074765766	8461.438968102366
5056	5087	910.0	0.48	0.7024390243902439	0.7129035301289696	257.3840930162747
5088	15964	1450.0	2.8	3.3599999999999994	7.164972189525492	1443.9012440338847
5090	13977	1300.0	0.66	0.9658536585365853	1.7646881257925024	1094.6376888992572
5081	13953	1570.0	0.33	0.396	0.39609662751738145	83.75630734977538
5092	13982	2490.0	0.23	0.43125	0.8139057199295348	2150.48805686422
5156	15628	2940.0	0.15	0.18	0.1857536074087871	1144.0373473168559
5096	34832	2950.0	0.17	0.20400000000000001	0.31196853582406703	2404.2687196189786
5094	7642	1570.0	1.61	1.932	1.9897338585509108	361.13817259686294
5068	5100	8300.0	0.703132	0.4056530769230769	0.4422023683612724	5173.059661750466
5101	5066	8300.0	0.875246	0.5049496153846154	0.5378878546138021	4838.5977418202065
5093	34844	1950.0	0.08	0.11707317073170731	0.130667893281054	963.3577714755388
5104	10104	1450.0	0.88	1.056	1.4972231738244344	1110.4177364253503
5106	10105	1450.0	0.69	0.828	0.8443619685798018	497.10631989954607
5059	15937	910.0	0.21	0.3073170731707317	0.3103058612385076	229.23511023509226
5108	5109	910.0	0.36	0.5268292682926828	0.5268292813391637	6.933201195862428
5133	5110	1000.0	1.119447	1.178365263157895	1.2036096446895084	325.5028744383384
5111	5112	8300.0	0.391504	0.22586769230769232	0.3179360005112894	7069.7453534076685
5113	7529	2300.0	0.15491	0.17874230769230767	0.17905168944984637	660.4440810221029
5114	5115	1450.0	0.62	0.744	0.7447466637956149	226.75681014425896
5116	5117	1300.0	2.82	4.126829268292682	4.126830257319245	18.347177438705184
5112	26594	6300.0	2.661021	1.535204423076923	5.186587046890843	7730.189434429772
5119	5116	1300.0	0.95	1.3902439024390243	1.3902442356217315	18.347177438705184
11005	12979	8300.0	1.362054	0.7858003846153847	0.8036875954697232	3891.3621121268748
5119	10109	1450.0	0.72	0.864	0.864	0.0
16380	15926	910.0	1.28	1.873170731707317	1.9445305770869574	332.1472206156615
5123	15899	910.0	0.1	0.14634146341463414	0.1463439920092202	41.04652837536949
5110	15931	910.0	0.29	0.42439024390243896	0.7044381753766071	720.6600164238247
5116	10108	1300.0	0.27	0.3951219512195122	0.3951219512195122	0.0
5115	5119	1450.0	0.29	0.348	0.34800002495564947	18.347177438705184
5107	15892	1860.0	0.08	0.11707317073170731	0.17430303455439894	1357.7261890153097
5127	10807	1950.0	0.62	0.9073170731707316	0.9236312961199039	580.4486392027854
5070	5130	3490.0	0.42	0.42	0.42011442577054114	776.3059443617824
5131	5130	910.0	0.91	1.092	1.190792308313514	465.7372493874635
5130	15948	1950.0	0.87	1.273170731707317	1.5614805528184303	1154.9615723352501
5132	7531	770.0	0.307711	0.45030878048780487	0.450308861827604	10.06386081813742
5056	5070	1950.0	0.72	1.0536585365853657	1.0693043616592444	551.0506989755631
5131	5099	910.0	0.32	0.384	0.384	0.0
5056	5057	910.0	0.1	0.14634146341463414	0.14634559653017432	46.9067331154867
5109	5061	910.0	0.3	0.4390243902439024	0.4569678313157551	338.552014071313
5126	7530	910.0	0.28	0.40975609756097564	0.4696646459660378	478.5947894292101
5126	5109	910.0	0.13	0.1902439024390244	0.199636954219818	356.3837860027127
5073	5132	770.0	0.07	0.10243902439024391	0.10248777582622666	85.47339332406403
5061	5073	910.0	0.15	0.2195121951219512	0.21951223929905667	12.248016155868847
5117	5133	3920.0	0.91	0.91	0.9689247619671909	2426.9417139947245
5134	5135	910.0	0.4	0.5853658536585366	0.6077655748313427	332.5501658883751
5134	5136	860.0	0.173951	0.32615812499999997	0.6100228000486249	738.998253412607
5137	5138	770.0	0.141812	0.2658975	0.766618071470541	809.4268581498662
5125	15905	910.0	0.12	0.17560975609756097	0.17977222908588844	291.9854554576953
5139	15923	910.0	0.14	0.20487804878048782	0.2129560351478881	335.26321586422455
5123	15900	910.0	0.12	0.17560975609756097	0.17594856637178793	147.73478720381365
5140	15924	910.0	0.15	0.2195121951219512	0.26317940420411184	520.3431165315354
5143	15917	1860.0	0.05	0.07317073170731707	0.09762003139910545	1224.4306596922156
5135	5089	910.0	0.45	0.6585365853658537	0.7386707418109694	455.31774674260043
5145	5144	860.0	0.31	0.58125	0.9815127466139014	695.1566886262304
5142	5138	910.0	0.49	0.7170731707317073	1.0723982615302348	666.7181545700604
5146	5147	910.0	1.14	1.668292682926829	1.990513016028922	516.1892775476105
5141	15922	910.0	0.16	0.23414634146341462	0.24084537122127103	307.2958917250103
5146	5148	910.0	0.37	0.5414634146341463	0.5634433737685496	337.9260355478172
5114	5146	1860.0	0.04	0.058536585365853655	0.07050472753543366	1071.5047264755397
5141	5139	910.0	0.14	0.20487804878048782	0.27262775457531135	597.3595625696214
5148	15921	910.0	0.15	0.2195121951219512	0.22322662107783706	266.4448675889171
5147	16380	1450.0	0.12	0.12	1.00561227042714	2177.6427030971395
5147	5134	910.0	0.107881	0.15787463414634148	1.349936690339867	1397.0860944788192
16380	5117	1860.0	0.35	0.5121951219512194	2.5785994568460917	2408.5945365560196
5138	5147	2500.0	0.108333	0.11818145454545453	0.17104543534548908	1783.3044498905742
5149	15915	910.0	0.21	0.3073170731707317	0.3147856724294495	293.9733625010594
5140	15913	860.0	0.21	0.39375	0.4007884673333018	267.8842908947417
5105	15907	1950.0	0.28	0.3360000000000001	0.5008313239100259	1557.8033971935934
5125	15902	910.0	0.17	0.24878048780487805	0.2925577533330086	503.2957266191827
5105	15909	910.0	0.08	0.11707317073170731	0.229720948066927	798.3950897652447
5149	15903	910.0	0.13	0.1902439024390244	0.2031457394728609	388.469067651321
5151	10107	1950.0	0.12	0.17560975609756097	0.2254719865804398	1228.1522288320546
5151	15910	910.0	0.086109	0.12601317073170734	0.13250245824900558	360.4824716498606
5137	5136	860.0	0.17	0.31875000000000003	0.33648598243136135	360.36285477299623
5136	15918	860.0	0.2	0.375	0.42072506512656543	442.30675042069583
5150	15912	770.0	0.164517	0.308469375	0.5315431879997523	630.4140199171638
5136	5145	860.0	0.31	0.58125	0.6501665152132917	439.0834751677301
5152	15930	1950.0	0.22	0.32195121951219513	0.38152300035459347	1093.3073285702558
5153	5063	4000.0	0.419024	0.4834892307692308	0.5370685303353013	2666.6004364050104
5152	5113	1000.0	1.01437	1.0677578947368422	1.068560330428874	121.47956755564682
5121	5153	4000.0	0.425167	0.49057730769230773	0.4907931536316571	870.3886135006027
5086	5111	8300.0	0.408805	0.23584903846153843	0.407115435145392	7967.10971547743
5154	5153	1950.0	0.13	0.1902439024390244	0.5925313447892192	2118.7863603247056
5121	5063	8300.0	0.826275	0.47669711538461534	0.5201701387656996	5186.024627509359
5086	5113	4000.0	0.535942	0.6183946153846154	0.6184112649057067	494.3292526249377
5133	5074	910.0	0.08	0.096	0.2366785675342271	969.8298867002063
5111	5154	2300.0	0.3856	0.4449230769230769	0.44842243590437386	897.3643620697668
5113	7528	1950.0	0.12	0.17560975609756097	0.22447330240931987	1221.421998254939
5133	5113	1950.0	0.1	0.14634146341463414	0.34631888505798725	1881.8660792770406
5153	5155	1950.0	0.04	0.058536585365853655	0.09226831039439116	1488.4644705557414
5155	5152	1950.0	0.06	0.08780487804878048	0.10405172736943458	1093.3073285702558
5155	5110	910.0	0.07	0.10243902439024391	0.11573840707958474	463.3980371737572
5108	17127	1950.0	0.13	0.1902439024390244	0.20047980655256445	781.712559089291
5144	5089	1950.0	0.23	0.33658536585365856	0.8346943849769582	1923.048663794269
5104	5106	1450.0	0.95	1.14	1.4375074205777765	980.9565769107382
5158	26560	1450.0	0.35	0.41999999999999993	1.255756394568306	1675.0174363520991
5106	30815	1450.0	1.18	1.416	7.2668532809678705	2030.4796181259858
5156	35222	2940.0	0.31	0.372	0.39731928499724967	1396.0289771959638
5160	13957	1570.0	0.52	0.624	0.6240455276448701	58.0298233160867
5161	13956	1570.0	0.32	0.384	0.4183872275489568	504.1381098417829
5162	10111	1570.0	3.1	3.7199999999999998	3.7201731089305734	50.6157028736737
16639	16638	1570.0	0.03	0.036	0.036	0.0
5170	5171	2490.0	0.32	0.6	1.3945935098490698	2387.5771941433036
5172	13985	1650.0	0.67	1.25625	3.2792910493881355	1665.0374787993815
5170	9357	1860.0	0.599896	0.7198752	0.776842461297314	918.9697974583826
