tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	1.2	1.435427686718231	3689.95538979577
5003	5006	1300.0	4.13	4.13	4.130470916673056	245.68092026131652
5007	5008	1650.0	1.23	2.30625	5.512732017548386	1602.3599508532036
5009	10122	1570.0	0.54	2.16	2.1696204426460133	202.48936733321358
5011	5001	1300.0	1.47	1.47	1.4700041159514936	122.78827309865095
5012	8725	1570.0	2.17	2.604	2.608050986213389	147.07901005680196
5014	5015	1570.0	1.55	1.8599999999999999	1.8601039048353138	53.50602431384317
5016	5014	1570.0	6.69	8.028	8.02800000000049	0.10105109637626292
5018	5019	5670.0	1.861166	1.0737496153846156	1.0809684937146888	2065.368686164012
5020	10146	860.0	0.29	0.54375	0.5439111068183692	91.81890942128506
5022	5023	8300.0	1.197082	0.6906242307692307	1.0980050303194153	7631.647924915654
5024	5025	770.0	0.55	1.03125	2.1326583030797703	697.9970044592882
5026	5027	5670.0	0.586561	0.3384005769230769	0.3497421377575385	2879.8841212239113
5028	5027	2070.0	0.500668	0.625835	0.6280426757340783	632.6006284954681
5029	5028	5240.0	0.26	0.26	0.26120825446022466	1981.7067128180627
5021	5024	1570.0	0.4	0.75	2.234047389348291	1671.8717988105673
5030	5031	910.0	0.48	0.7024390243902439	0.7049270251783626	174.23675833335355
5032	5033	8300.0	1.89709	1.094475	1.1344055193499833	4290.395638617933
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.42520160775066806	2186.507340780037
5039	10145	910.0	0.64	0.9365853658536585	0.9429899671142529	208.32258792519016
5042	10147	1570.0	12.46	14.952	14.952	0.0
5006	5043	1300.0	6.14	6.14	6.14070010372217	245.68092026131652
5043	7223	1300.0	3.73	3.73	3.7300104438769193	122.78827309865095
5044	16696	3870.0	0.229508	0.13240846153846153	0.13275330187356746	1158.4944353276699
5046	5047	1570.0	6.92	8.304	8.304061007528636	28.881078389066108
5039	10144	770.0	0.51	0.95625	0.9753136282787532	246.78150904672287
5049	5046	770.0	1.25	1.8292682926829267	1.8292712335767234	18.2231367257714
5050	16693	3870.0	0.181224	0.1045523076923077	0.10617861250463988	1676.927788866798
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.8855415196364516	169.09565932631565
5055	5056	1950.0	0.43	0.6292682926829268	0.6305316033219714	320.0114501236023
5057	5058	910.0	0.53	0.775609756097561	0.7756285770200239	45.012529762165975
5059	15938	1950.0	0.13	0.1902439024390244	0.19047599973344265	279.52110767421993
5061	5062	910.0	0.39	0.5707317073170731	0.6175370733661357	409.0435566070439
