tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	1.2	1.420765699574971	3627.987627368088
5003	5006	1300.0	4.13	4.13	4.13032103693029	228.68551820135124
5007	5008	1650.0	1.23	2.30625	6.303175637844496	1697.277433218333
5009	10122	1570.0	0.54	2.16	2.1633813704416167	147.3591838042322
5011	5001	1300.0	1.47	1.47	1.470002874284748	114.80984921531942
5012	8725	1570.0	2.17	2.604	2.6070988120584238	135.5755068549743
5014	5015	1570.0	1.55	1.8599999999999999	1.8600459319383134	41.74894873304763
5016	5014	1570.0	6.69	8.028	8.028000000000018	0.0374341998824027
5018	5019	5670.0	1.861166	1.0737496153846156	1.0817871727600452	2111.797538718361
5020	10146	860.0	0.29	0.54375	0.5438248227602196	75.1524786866265
5022	5023	8300.0	1.197082	0.6906242307692307	1.1092945072640483	7674.940889942703
5024	5025	770.0	0.55	1.03125	1.8272768350950612	641.2449130588686
5026	5027	5670.0	0.586561	0.3384005769230769	0.3477335925809967	2766.0326541497675
5028	5027	2070.0	0.500668	0.625835	0.6275464795635337	599.6860098138548
5029	5028	5240.0	0.26	0.26	0.26095712756481265	1897.1696246455097
5021	5024	1570.0	0.4	0.75	2.0184592161258275	1604.719162579935
5030	5031	910.0	0.48	0.7024390243902439	0.7061950439297027	194.85998681043688
5032	5033	8300.0	1.89709	1.094475	1.1289347267067908	4161.544599284997
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.42482298255417783	2176.212848868861
5039	10145	910.0	0.64	0.9365853658536585	0.9423162813550218	202.12815012981827
5042	10147	1570.0	12.46	14.952	14.952	0.0
5006	5043	1300.0	6.14	6.14	6.140477280085225	228.68551820135124
5043	7223	1300.0	3.73	3.73	3.7300072932531356	114.80984921531942
5044	16696	3870.0	0.229508	0.13240846153846153	0.13274809722398678	1154.8542082988697
5046	5047	1570.0	6.92	8.304	8.304030349564822	23.35855316464303
5039	10144	770.0	0.51	0.95625	0.9693357685643542	223.68488361421765
5049	5046	770.0	1.25	1.8292682926829267	1.829272692175667	20.32975291123296
5050	16693	3870.0	0.181224	0.1045523076923077	0.10583739102552313	1597.16722955781
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.8845714897628145	163.67415503789772
5055	5056	1950.0	0.43	0.6292682926829268	0.6298066351494952	253.83487649391913
5057	5058	910.0	0.53	0.775609756097561	0.7756098474315065	10.588908642369255
5059	15938	1950.0	0.13	0.1902439024390244	0.19051816846451866	292.48665428260966
5061	5062	910.0	0.39	0.5707317073170731	0.6143628732649828	401.31566083360656
5063	16684	8300.0	3.044577	1.7564867307692307	2.843914961959456	7708.38609878466
