tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	1.2	1.22351731862304	2011.4570763783317
5003	5006	1300.0	4.13	4.13	4.130000879554867	75.82504915868742
5007	5008	1650.0	1.23	2.30625	3.638273452635799	1273.8587924794529
5009	10122	1570.0	0.54	2.16	2.1600056745806175	21.12826518258161
5011	5001	1300.0	1.47	1.47	1.4775844029398058	501.36003943301233
5012	8725	1570.0	2.17	2.604	2.6041375811253618	52.60724503185729
5014	5015	1570.0	1.55	1.8599999999999999	1.8600016232931227	15.114504903665237
5016	5014	1570.0	6.69	8.028	8.02832523467544	48.52788171375432
5018	5019	5670.0	1.861166	1.0737496153846156	1.129489521666727	3152.81297747
5020	10146	860.0	0.29	0.54375	0.5437507487969432	22.578755029165492
5022	5023	8300.0	1.197082	0.6906242307692307	0.7126829331883069	4173.921173850128
5024	5025	770.0	0.55	1.03125	1.223544278038385	442.48173581840854
5026	5027	5670.0	0.586561	0.3384005769230769	0.34131480382482265	2173.9473133073116
5028	5027	2070.0	0.500668	0.625835	0.627806591150216	617.7608311083336
5029	5028	5240.0	0.26	0.26	0.2605545028821777	1712.9676335753331
5021	5024	1570.0	0.4	0.75	1.2391123560925676	1251.1555889579074
5030	5031	910.0	0.48	0.7024390243902439	0.7024539959547719	43.45420284974368
5032	5033	8300.0	1.89709	1.094475	1.347062835215424	6284.621965682469
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.4228577512692477	2119.061621508349
5039	10145	910.0	0.64	0.9365853658536585	0.9381852637376333	142.93060384845387
5042	10147	1570.0	12.46	14.952	14.952	0.0
5006	5043	1300.0	6.14	6.14	6.140001307619101	75.82504915868742
5043	7223	1300.0	3.73	3.73	3.749244777527534	501.36003943301233
5044	16696	3870.0	0.229508	0.13240846153846153	0.1355695118401463	1832.3783278593405
5046	5047	1570.0	6.92	8.304	8.305504721070902	76.51309451351325
5039	10144	770.0	0.51	0.95625	0.9572862235228533	115.34635865586027
5049	5046	770.0	1.25	1.8292682926829267	1.8298365952415918	76.12467623338951
5050	16693	3870.0	0.181224	0.1045523076923077	0.11101602269051769	2231.1557748313844
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.888617311353781	184.08429413043484
5055	5056	1950.0	0.43	0.6292682926829268	0.6331371374851269	433.69249832116657
5057	5058	910.0	0.53	0.775609756097561	0.7756097560980861	0.39955859067688015
5059	15938	1950.0	0.13	0.1902439024390244	0.19086546645162272	365.2657118350901
5061	5062	910.0	0.39	0.5707317073170731	0.6320101565578482	440.0985313934822
5063	16684	8300.0	3.044577	1.7564867307692307	3.085879173006058	8035.623537982026
5065	5066	4000.0	0.593473	0.6847765384615385	0.7499591215244873	2585.7538302565704
5195	13980	1650.0	0.13	0.24375000000000002	0.3247113293585036	1102.4796341415638
5068	5171	4000.0	0.481766	0.5558838461538462	0.5919974736700827	2393.2762094885793
5070	5071	1570.0	8.52	10.224	10.224651191139237	55.68230691914437
5072	15952	910.0	1.09	1.5951219512195123	1.8434844519012965	486.8446787040827
5062	15939	770.0	0.23	0.33658536585365856	0.3365865335317599	22.456611249438623
5074	5075	1450.0	2.35	2.82	2.832282069891703	333.7809062473093
5074	17124	910.0	0.81	1.1853658536585365	1.2318776910674483	334.82391597913147
5077	10110	1570.0	0.92	1.104	1.1097759485962246	212.64362046132007
5079	10380	3920.0	0.72	0.864	0.86400001046379	31.048720988564234
5081	13954	1570.0	0.35	0.41999999999999993	0.41999999999999993	0.0
5083	5084	1570.0	9.97	11.964000000000002	11.965958673768686	74.18851725243849
5085	16681	8300.0	3.229111	1.862948653846154	3.215783021010964	7967.1313231554095
5056	5087	910.0	0.48	0.7024390243902439	0.7044908721192378	165.35049202472237
5088	15964	1450.0	2.8	3.3599999999999994	6.705166112830122	1395.742414424826
5090	13977	1300.0	0.66	0.9658536585365853	1.7336047964627408	1082.9016856237442
5081	13953	1570.0	0.33	0.396	0.3971766508158706	179.04860846813625
5092	13982	2490.0	0.23	0.43125	0.603362234823362	1745.4755676040554
5156	15628	2940.0	0.15	0.18	0.18324123267047512	983.5497881772044
5096	34832	2950.0	0.17	0.20400000000000001	0.28097946066064644	2199.305826400526
5094	7642	1570.0	1.61	1.932	1.9331394386422733	109.52555203964957
5068	5100	8300.0	0.703132	0.4056530769230769	0.44979516662039687	5379.120048848386
5101	5066	8300.0	0.875246	0.5049496153846154	0.5788482673202073	5719.295306846219
5093	34844	1950.0	0.08	0.11707317073170731	0.11956287832830484	607.5176750935516
5104	10104	1450.0	0.88	1.056	1.3354766111276208	984.5855072915018
5106	10105	1450.0	0.69	0.828	1.002943297985871	927.8769523393107
5059	15937	910.0	0.21	0.3073170731707317	0.3082271791482805	165.96885814010216
5108	5109	910.0	0.36	0.5268292682926828	0.5268294254996236	13.630956528710401
5133	5110	1000.0	1.119447	1.178365263157895	1.1926563760429338	275.3324266673453
5111	5112	8300.0	0.391504	0.22586769230769232	0.2621679730327451	5831.20440122813
5113	7529	2300.0	0.15491	0.17874230769230767	0.17935115653131578	757.4865198590308
5114	5115	1450.0	0.62	0.744	0.7522308008605217	426.6705780549869
5116	5117	1300.0	2.82	4.126829268292682	4.126829455558258	11.675383433725557
5112	26594	6300.0	2.661021	1.535204423076923	3.2222981353516076	6588.6909210871745
5119	5116	1300.0	0.95	1.3902439024390243	1.390243965524945	11.675383433725557
11005	12979	8300.0	1.362054	0.7858003846153847	0.8262024055859666	4606.062338661953
5119	10109	1450.0	0.72	0.864	0.864	0.0
16380	15926	910.0	1.28	1.873170731707317	3.113245795314115	721.2928922220021
5123	15899	910.0	0.1	0.14634146341463414	0.1463854734050951	89.17468920697394
5110	15931	910.0	0.29	0.42439024390243896	0.8595594087516205	812.3093453309123
5116	10108	1300.0	0.27	0.3951219512195122	0.3951219512195122	0.0
5115	5119	1450.0	0.29	0.348	0.34800000448625384	11.675383433725557
5107	15892	1860.0	0.08	0.11707317073170731	0.1511354819985932	1179.2550992046583
5127	10807	1950.0	0.62	0.9073170731707316	0.9561637066961912	781.8397197105454
5070	5130	3490.0	0.42	0.42	0.42001510433583966	531.4785818127639
5131	5130	910.0	0.91	1.092	1.230734622360346	509.3079081216998
5130	15948	1950.0	0.87	1.273170731707317	1.4683756728023154	1038.8843418477509
5132	7531	770.0	0.307711	0.45030878048780487	0.45030882675489065	8.634048516736176
5056	5070	1950.0	0.72	1.0536585365853657	1.0634798311916054	485.5860305497854
5131	5099	910.0	0.32	0.384	0.384	0.0
5056	5057	910.0	0.1	0.14634146341463414	0.14634146341473322	0.39955859067688015
5109	5061	910.0	0.3	0.4390243902439024	0.45879513528460125	347.5877122024328
5126	7530	910.0	0.28	0.40975609756097564	0.49476463917530955	526.3127305266694
5126	5109	910.0	0.13	0.1902439024390244	0.20106919864207862	370.38842996092944
5073	5132	770.0	0.07	0.10243902439024391	0.10243977955318496	27.558234825042717
5061	5073	910.0	0.15	0.2195121951219512	0.21951224405792558	12.593114637783295
5117	5133	3920.0	0.91	0.91	0.9315363633408509	2010.3402528645165
5134	5135	910.0	0.4	0.5853658536585366	0.658432856734527	458.4768541113844
5134	5136	860.0	0.173951	0.32615812499999997	0.5055794286105745	655.5557515754895
5137	5138	770.0	0.141812	0.2658975	0.552681096238331	699.7855806135897
5125	15905	910.0	0.12	0.17560975609756097	0.1776343137235765	240.07391845107574
5139	15923	910.0	0.14	0.20487804878048782	0.2097558954648354	292.33807642796995
5123	15900	910.0	0.12	0.17560975609756097	0.17787688323318504	247.56708780488253
5140	15924	910.0	0.15	0.2195121951219512	0.24352677306983475	442.34475399854495
5143	15917	1860.0	0.05	0.07317073170731707	0.08480597783021115	1000.7970922871491
5135	5089	910.0	0.45	0.6585365853658537	0.7378515949242306	454.0488972714852
5145	5144	860.0	0.31	0.58125	0.6652118899467487	462.3217203224086
5142	5138	910.0	0.49	0.7170731707317073	0.8266368234128803	484.3577754660648
5146	5147	910.0	1.14	1.668292682926829	1.6814882404198073	216.72266756191638
5141	15922	910.0	0.16	0.23414634146341462	0.2392571948611195	285.52153056242696
5146	5148	910.0	0.37	0.5414634146341463	0.551090358817411	270.0492714791939
5114	5146	1860.0	0.04	0.058536585365853655	0.05934254439904113	514.9415266042647
5141	5139	910.0	0.14	0.20487804878048782	0.23616160770735256	484.27227098931155
5148	15921	910.0	0.15	0.2195121951219512	0.21984858226659884	138.77636086160885
5147	16380	1450.0	0.12	0.12	0.3030545391665815	1621.3639443978109
5147	5134	910.0	0.107881	0.15787463414634148	1.4587026726742918	1430.614026502667
16380	5117	1860.0	0.35	0.5121951219512194	1.551861685656211	1998.6648694307912
5138	5147	2500.0	0.108333	0.11818145454545453	0.15029779788743272	1510.1187348173955
5149	15915	910.0	0.21	0.3073170731707317	0.30816159454641523	162.63151777254532
5140	15913	860.0	0.21	0.39375	0.41061819026627844	336.5758052899671
5105	15907	1950.0	0.28	0.3360000000000001	0.4850018944634503	1516.923506463787
5125	15902	910.0	0.17	0.24878048780487805	0.3047198735983963	537.9477849190959
5105	15909	910.0	0.08	0.11707317073170731	0.25817190121859557	848.7511195916729
5149	15903	910.0	0.13	0.1902439024390244	0.20441415031846477	398.4901141630159
5151	10107	1950.0	0.12	0.17560975609756097	0.20430673856480025	1057.0267802185092
5151	15910	910.0	0.086109	0.12601317073170734	0.18664008457952472	661.3971465193624
5137	5136	860.0	0.17	0.31875000000000003	0.33489485970688787	351.6244106832547
5136	15918	860.0	0.2	0.375	0.4212502363829692	443.6278952988618
5150	15912	770.0	0.164517	0.308469375	0.5093242858595188	613.3743240085273
5136	5145	860.0	0.31	0.58125	0.7167347167875022	523.8614707037036
5152	15930	1950.0	0.22	0.32195121951219513	0.5303779039652456	1536.2728722401837
5153	5063	4000.0	0.419024	0.4834892307692308	0.5192848538622366	2457.4579353508598
5152	5113	1000.0	1.01437	1.0677578947368422	1.0718817224120079	196.63015651477852
5121	5153	4000.0	0.425167	0.49057730769230773	0.49109657540142954	1039.721263104164
5086	5111	8300.0	0.408805	0.23584903846153843	0.3359367440484776	7128.912507759285
5154	5153	1950.0	0.13	0.1902439024390244	0.8046104152205686	2377.014212903441
5121	5063	8300.0	0.826275	0.47669711538461534	0.5385265303234799	5578.165602631147
5086	5113	4000.0	0.535942	0.6183946153846154	0.6186205245942298	838.2188153961175
5133	5074	910.0	0.08	0.096	0.13027377567247314	668.6048222264404
5111	5154	2300.0	0.3856	0.4449230769230769	0.4665566685929626	1297.7081065311459
5113	7528	1950.0	0.12	0.17560975609756097	0.20659744966061214	1079.3061063723026
5133	5113	1950.0	0.1	0.14634146341463414	0.3292423288874724	1836.7926262313324
5153	5155	1950.0	0.04	0.058536585365853655	0.17280137035207868	2073.2497909037515
5155	5152	1950.0	0.06	0.08780487804878048	0.1446485192632488	1536.2728722401837
5155	5110	910.0	0.07	0.10243902439024391	0.1326676949046892	579.1658964596337
5108	17127	1950.0	0.13	0.1902439024390244	0.2099895050421947	934.4288886065692
5144	5089	1950.0	0.23	0.33658536585365856	0.5186575293619854	1463.118812609558
5104	5106	1450.0	0.95	1.14	1.340885580749862	884.5643815987438
5158	26560	1450.0	0.35	0.41999999999999993	1.4196439982828355	1755.908032764687
5106	30815	1450.0	1.18	1.416	2.681359030336539	1356.5790195851882
5156	35222	2940.0	0.31	0.372	0.38950609047921103	1266.7283632405943
5160	13957	1570.0	0.52	0.624	0.6240162356602472	42.41702800936415
5161	13956	1570.0	0.32	0.384	0.38492194687111736	167.81540222652583
5162	10111	1570.0	3.1	3.7199999999999998	3.720004717112862	16.93206119742952
16639	16638	1570.0	0.03	0.036	0.036	0.0
5170	5171	2490.0	0.32	0.6	1.4084180005509521	2398.356824612238
5172	13985	1650.0	0.67	1.25625	2.6873837726364345	1521.123779482379
5170	9357	1860.0	0.599896	0.7198752	0.7241379032829576	464.24115581082776
5177	5178	8300.0	0.792404	0.4571561538461538	0.5700554545315321	6373.344250901883
5179	5180	8300.0	0.783648	0.4521046153846154	0.5730226908311711	6479.370692612717
5177	5181	2300.0	0.420305	0.48496730769230767	0.7241916307453746	2074.652817365055
5174	5180	2300.0	0.410227	0.4733388461538462	0.5874425226328132	1794.6262975785864
5174	5181	2790.0	0.17	0.31875000000000003	0.35072016743172074	1363.5627906650002
5183	14028	1850.0	0.31	0.58125	0.647613409890966	935.273595090488
5184	5185	4300.0	0.532047	0.3069501923076923	0.367710318227992	3154.101840964862
5186	5187	4300.0	0.453282	0.2615088461538461	0.38846799109511393	3797.566621080799
5190	9345	910.0	0.16	0.23414634146341462	0.23414634146341462	0.0
5185	5179	2300.0	0.142623	0.164565	0.24478301561482174	2069.6687046568613
5185	5175	2300.0	0.331869	0.38292576923076926	0.39059772176856056	1084.4331363079962
5176	5186	2300.0	0.296112	0.3416676923076923	0.38509578716096	1576.4717195797975
5178	5186	2300.0	0.104079	0.12009115384615385	0.20305362770355265	2221.0949015010146
5173	5183	1650.0	0.15	0.2195121951219512	0.38206776710645346	1348.259932361186
5189	5191	1650.0	0.15	0.2195121951219512	0.37240199266186297	1325.997649787605
5173	5172	1650.0	0.05	0.09375	0.20055102780868914	1521.123779482379
5182	32891	1950.0	0.18	0.2634146341463414	0.26602218829487706	493.5845918356031
5171	5065	2490.0	0.11	0.20625	0.36021147028990075	2055.576963496283
5192	5065	1850.0	0.068066	0.12762375	0.4354679561293688	2074.6202355003265
5187	5192	2300.0	0.349262	0.4029946153846154	0.687278302527697	2230.52066363547
5193	5184	2300.0	0.230345	0.2657826923076923	0.4350013911889869	2184.6837800723206
5192	5193	2300.0	0.20242	0.23356153846153846	0.23804312045539547	1074.9878663726865
5187	5101	2300.0	0.129873	0.14985346153846152	0.1683449701120857	1567.0459574453448
5100	5184	2300.0	0.070041	0.08081653846153847	0.08174730838152403	969.4180608925368
5171	5193	1650.0	0.063037	0.09224926829268291	0.3379858148078441	1908.854101674452
5065	10605	2490.0	0.05	0.09375	0.15408066994860323	1977.4310627859631
5195	13981	1650.0	0.15	0.28125	0.4370801124399247	1260.1090867170844
5195	13984	1650.0	0.16	0.3	0.31124365921743374	623.5980744919037
9338	5194	1650.0	0.36	0.6749999999999999	1.0235701634343357	1237.1538318651446
5090	5170	2490.0	0.21	0.39375	1.438351829015378	2862.5979804230665
5161	13958	1570.0	0.98	1.176	1.1760004364226273	11.65497190055438
5165	13997	3920.0	0.77	0.924	0.9361436002476388	1207.0180048661814
